hyperlink,skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,"decade, pace"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,general
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,"building, capacity building, chair, decade, demand"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,"artificial intelligence, computer, design, modeling, software"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,"aspect, efficiency, input, land, material, sea, waste"
v0_006_call_for_proposals_under_india_republic_of_korea_joint_programme_of_cooperation,engineering
v0_007_india___korea_joint_network_centre___call_for_proposals___last_date___august_16_2017,"engineering, material"
v0_008_bhaskara_advanced_solar_energy_base_fellowship__2017,general
v0_009_building_energy_efficiency_higher_and_advanced_network_bhavan_fellowships__2017,"building, efficiency"
v0_010_dst___rcn_norway_joint_call_on_ict_2017,environment
v0_011_call___india_japan_cooperative_science_programme_ijcsp,"engineering, fundamental, global warming, material, polymer, synthesis"
v0_012_national_award_for_women_development_through_application_of_science__technology,"design, woman"
v0_013_national_awards_for_science__technology_communication_2017,general
v0_014_dst___ukieri_call_for_research_proposals_2017__18,advance
v0_015_request_for_proposals_india_italy_industrial_rd,general
v0_016_call_for_proposals_2017___indo_hungarian_joint_research,"instrument, recommendation"
v0_017_indo_norway_joint_call_on_bio_economy,land
v0_018_joint_call_between_india_and_austria_for_exchange_visits,family
v0_019_dst_dfg_awards_for_participation_in_the_68th_meeting_of_nobel_laureates__students_lindau_germany,aspect
v0_020_advertisement_for_call_for_proposal_for_dst_nrdms_summerwinter_schools_in_geospatial_st___2017___2019,"building, capacity building, decade, efficiency"
v0_021_call_for_proposals_in_basic_sciences_with_russia_russian_foundation_for_basic_research,"computer, engineering, fundamental"
v0_022_funding_opportunity_announcement_foa_smart_grids,"biomass, building, city, demand, design, immense, large amount, limitation, use"
v0_023_multi_institutional_centres_on_materials_for_energy_conservation_and_storage_platform_mecsp___2017,"efficiency, material, ultimate, use"
