proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Arindam Biswas,[['Arindam Biswas']],[0.4]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Avlokita Agrawal,"[['Avlokita Agrawal', 'Prabhat Kumar Mandal'], ['Avlokita Agrawal', 'Krishna Mohan Poluri'], ['Avlokita Agrawal', 'Deepak Sharma'], ['Avlokita Agrawal', 'Debabrata Sircar'], ['Avlokita Agrawal', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Gaurav Raheja,"[['Gaurav Raheja', 'Prabhat Kumar Mandal'], ['Gaurav Raheja', 'Krishna Mohan Poluri'], ['Gaurav Raheja', 'Deepak Sharma'], ['Gaurav Raheja', 'Debabrata Sircar'], ['Gaurav Raheja', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Harshit Sosan Lakra,"[['Harshit Sosan Lakra', 'Prabhat Kumar Mandal'], ['Harshit Sosan Lakra', 'Krishna Mohan Poluri'], ['Harshit Sosan Lakra', 'Deepak Sharma'], ['Harshit Sosan Lakra', 'Debabrata Sircar'], ['Harshit Sosan Lakra', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Mahua Mukherjee,"[['Mahua Mukherjee', 'P Gopinath'], ['Mahua Mukherjee', 'N K Navani'], ['Mahua Mukherjee', 'Maya S.Nair'], ['Mahua Mukherjee', 'Jitin Singla'], ['Mahua Mukherjee', 'Ashwani Kumar Sharma']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Prabhjot Singh Chani,"[['Prabhjot Singh Chani', 'Prabhat Kumar Mandal'], ['Prabhjot Singh Chani', 'Krishna Mohan Poluri'], ['Prabhjot Singh Chani', 'Deepak Sharma'], ['Prabhjot Singh Chani', 'Debabrata Sircar'], ['Prabhjot Singh Chani', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",E Rajasekar,"[['E Rajasekar', 'P Gopinath'], ['E Rajasekar', 'N K Navani'], ['E Rajasekar', 'Maya S.Nair'], ['E Rajasekar', 'Jitin Singla'], ['E Rajasekar', 'Ashwani Kumar Sharma']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Ram Sateesh Pasupuleti,"[['Ram Sateesh Pasupuleti', 'Sachin Suresh Tiwari'], ['Ram Sateesh Pasupuleti', 'Ranjana Pathania'], ['Ram Sateesh Pasupuleti', 'Rajesh Kumar'], ['Ram Sateesh Pasupuleti', 'Mahua Mukherjee'], ['Ram Sateesh Pasupuleti', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Saptarshi Kolay,"[['Saptarshi Kolay', 'Prabhat Kumar Mandal'], ['Saptarshi Kolay', 'Krishna Mohan Poluri'], ['Saptarshi Kolay', 'Deepak Sharma'], ['Saptarshi Kolay', 'Debabrata Sircar'], ['Saptarshi Kolay', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Shubhajit Sadhukhan,"[['Shubhajit Sadhukhan', 'Prabhat Kumar Mandal'], ['Shubhajit Sadhukhan', 'Krishna Mohan Poluri'], ['Shubhajit Sadhukhan', 'Deepak Sharma'], ['Shubhajit Sadhukhan', 'Debabrata Sircar'], ['Shubhajit Sadhukhan', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
