Title,Attachment Text,Start Date,End Date
2nd Call for Proposal for DST-STI Policy Fellowship Programme," 
DST - SCIENCE, TECHNOLOGY, AND 
INNOVATION POLICY FELLOWSHIPS 
PROGRAMME  
 
         
 
(DST-STI-PFP) 
 
 
 
 
 
 
 
 
GUIDELINES AND PROFORMA 
FOR SUBMISSION OF APPLICATIONS 
 
 
 
 
 
 
 
 
Last date of submission of application for DST-STI 
Fellowship: May 30, 2017 
 
 
 
 
Government of India 
 
Ministry of Science & Technology 
 
Department of Science & Technology 
 
Policy Research Cell 
 
Technology Bhawan, New Mehrauli Road 
 
New Delhi-110016 
(April 2017)
2 
 
 
 
 
Ministry of Science and Technology 
Department of Science and Technology 
 
 
DST Science, Technology, and Innovation Policy Fellowships 
 
Background and Motivation 
Science, Technology, and Innovation (STI) are now recognized as playing a significant 
role in advancing human, social, and economic development and meeting the 
aspirations of people and nations across the world.  As a result, understanding STI 
processes and exploring ways to strengthen them is a major strand of intellectual 
activity, evinced by the explosion of literature on these topics in the last decade.  At 
the same time, there are significant efforts to link this understanding to better policy 
making by a range of governmental agencies (both in developed and emerging 
economies) and inter-governmental organizations. 
 
In recognition of importance and potential of STI in meeting India’s developmental 
challenges through “acceleration of the pace of discovery and delivery of science-lead 
solutions for faster, sustainable and inclusive growth,” the government launched the 
Science, Technology, and Innovation Policy in 2013. Department of Science and 
Technology (DST) recognized the importance of evidence-driven research and 
analysis in underpinning the effective achievement of the objectives of this policy and 
established DST Centers for Policy Research (CPRs) in various academic institutions 
across the country (Annexure-I). These centers are engaged in targeted research in 
number of key areas relevant to the coun",03/05/2017,30/05/2017
DST-DAAD Germany Joint Call For Proposal 2017," 
 
 
 
  
   
                     
                                       
                                   P33 – Projektförderung deutsche Sprache, 
                                   Alumniprojekte, Forschungsmobilität (PPP) 
 
 
 
 
 
Department of Science & Technology 
Government  of India 
 
                                             
 
1 
 
Announcement 2017              
 Project- based Personnel Exchange Programme with India 
- Indo-German Joint Research Collaboration - 
 
DAAD / Department of Science and Technology (DST) 
Last Date : 14th June 2017 
  
 
Agreement 
 The ’Project-based Personnel Exchange Programme’(PPP) is a bilateral research 
promotion programme which is the result of the Memorandum of Understanding 
(MoU) concluded in 1998 between the German Academic Exchange Service 
(DAAD) and the Department of Science and Technology (DST). . 
 
  
Who are the funding 
institutions? 
 DAAD receives funds for implementing the programme through a budget allocation 
made by the Federal Ministry of Education and Research (BMBF). On the Indian 
side, the programme is funded by Government of India through the Department of 
Science and Technology (DST).  
 
  
What are the aims of 
the programme?  
 
 The basic aim of the programme is to strengthen the collaboration between Indian 
and German research groups, which are working jointly on a particular scientific 
project.  The programme ’Project-based Personnel Exchange’ envisages, in this 
connection, financial support for operational mobility only. Particular emphasis is 
thereby accorded to academic training and specialization of young researchers.  
Concrete objectives have to be mentioned in the application (project description) 
(including the number and academic credentials of the researchers to be sup-
ported). 
Research collaborations entered into with the intention of initiating major projects, 
such as the preparation of joint applications meant for submission to any other fund-
ing organisati",19/04/2017,14/06/2017
Call for applications under the second phase of the National Geospatial Chair Professor scheme,"GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE & TECHNOLOGY 
DEPARTMENT OF SCIENC & TECHNOLOGY 
(NRDMS-NSDI DIVISION) 
 
Call for applications under the second phase of the “National Geospatial 
Chair Professor"" scheme  
 
 
Geospatial technology has emerged as an effective tool for planning, management 
and decision making globally, nationally and locally. In recent years, this 
technology has made inroads across various sectors in the public as well as 
private domain in India. 
 
Recognizing its importance, over the last three decades Government of India is 
supporting various National programmes to demonstrate the utility of Geospatial 
technologies to its stakeholders. Natural Resource Data Management System 
(NRDMS) of the Department of Science & Technology (DST) is one of such 
programmes for promoting and supporting R & D projects to demonstrate the 
efficacy of Geospatial technologies for decentralized planning at local levels. The 
programme aims at strengthening R&D in specific identified areas to demonstrate 
the Geospatial Science, Technology, Applications and Entrepreneurship for 
efficient development planning. Capacity Building and Training is one of the key 
objectives of the programme to make trained manpower available. In order to 
address the same, under the 1st phase of the National Geospatial Chair Scheme, 
seven Geospatial Chair Positions were created since 2011-12 in well reputed 
institutes/ universities in the field of Geospatial Technology.  
 
Considering the increased national demand for Geospatial Science and 
Technology, the Department of Science and Technology is launching the 2nd 
Phase of the National Geospatial Chair Scheme with the goal to catalyze 
augmentation of the National Geospatial Ecosystem across the Geospatial value 
chain viz. Science, Technology, Applications and Enterprise.  Under this scheme, 
15(Fifteen) National Geo-Spatial Professor positions (including the existing 
positions) will be established over the next five yea",18/04/2017,16/06/2017
Advertisement for submission of research proposal under Cognitive Science Research Initiative," 
Ministry of Science and Technology 
Department of Science and Technology 
 
COGNITIVE SCIENCE RESEARCH INITIATIVE (CSRI) 
 
Cognitive Science is the study of mind and brain, focusing on how the mind represents 
knowledge and how mental representations and processes are realized in the brain. The 
field is interdisciplinary, combining ideas and methods from psychology, computer science, 
linguistics, philosophy, neuroscience and so on. Cognitive Science Research Initiative 
(CSRI) of Department of Science and Technology (DST) is aimed at revolutionizing research 
in various fields such as, a) nature and origin of mental disorders of psychological, social 
and neurochemical origin; b) design of better learning tools and educational paradigms; 
and c) design of better cognition based software technologies and devices, among others. 
 
 DST seeks proposal in active areas of Cognitive Science research that includes emotions, 
language, memory, visual perception & cognition, thinking & reasoning, social cognition, 
decision making, artificial intelligence, computational modeling of cognitive processes, 
psychology, cognitive development and other important components derived from work in 
neurosciences, philosophy, linguistics, anthropology, etc. The major aim is to characterize 
the nature of human knowledge- its forms and content- and how that knowledge is used, 
processed, and acquired.  
 
Aiming to promote and intensify cutting-edge research in Cognitive Science, DST invites 
‘Individual Research Proposal’ and ‘Application for CSRI-PDF’ for 2017-18. The details of both 
these components of CSRI are as follows: 
 
(i) Individual Research Proposal for 2017-18: 
 
Scientists/academicians with research background in Cognitive Science and having regular 
positions are invited to participate in Cognitive Science Research Initiative. Interested 
persons are required to submit research proposals in their area of expertise along with 
Endorsement Certificate from the Head o",12/05/2017,30/06/2017
Invites Science and Technology Project Proposals - Ministry of Mines,"ANNOUNCEMENT  
 
Government of India 
Ministry of Mines 
 
Invites Science and Technology Project Proposals 
 
 
Projects are invited from Academic Institutions, Universities, 
National Institutes and R&D Institution recognized by the Department of 
Scientific and Industrial Research, Government of India, for upto 3 years 
duration in the following thrust areas which have direct bearing on mineral 
sector, applied and sustainable aspect of mining and industrial 
applications: 
 
2. 
THRUST AREAS OF RESEARCH IN MINES 
 
The broad thrust areas for supporting Research in Mining are given below: 
i) 
Prospecting/exploration for strategic rare and rare earth minerals. 
ii) 
Development of new technology for mineral exploration and mining 
on land and deep sea to locate and exploit new mineral resources. 
iii) 
Research in mining methods. This includes rock mechanics, mine 
designing, mining equipments, energy conservation, environmental 
protection and mine safety. 
iv) 
Improve efficiency in process, operations, recovery of by-products 
and reduction in specification and consumption norms. 
v) 
Research in metallurgy and mineral beneficiation techniques to 
utilize lower grade and finer size ores. 
vi) 
Extraction of value added products from mine waste, plant tailings 
etc. 
vii) 
Development of new alloys and metal related products, etc. 
viii) 
Evolve low capital and energy saving processing systems. 
ix) 
Production of materials of high purity. 
x) 
Cooperative research among organizations associated with the 
mineral sector. 
 
3. 
Scientific and Technical Merit and relevance to Industry 
 
All organization should follow the instructions given below before 
submitting the project proposals to the Ministry:- 
 
a)  
the proposal should be relevant to the overall mandate of 
mining, exploration, minerals, metals value addition, waste 
and environmental impact of mining and metallurgical 
processing  
 
(b) 
industry inputs and participation  
c) 
Originality in terms",29/06/2017,15/07/2017
Call for proposals under India-Republic of Korea Joint Programme of Cooperation,"~ 1 ~ 
 
DEPARTMENT OF SCIENCE AND TECHNOLOGY,  
GOVERNMENT OF INDIA 
& 
MINISTRY OF SCIENCE, ICT AND FUTURE PLANNING 
REPUBLIC OF KOREA 
 
 
INDIA-KOREAJOINT PROGRAMME OF COOPERATION  
IN SCIENCE & TECHNOLOGY 
 
 
CALL FOR JOINT PROJECT PROPOSALS 
 
Proposals to be submitted by 6:00 pm (local time) on July 31, 2017 
 
 
 
1. Introduction 
 
The India-Korea Joint Programme of Cooperation in Science and Technology facilitates 
bilateral cooperation between scientists and researchers from the two countries by way 
of joint R&D projects and technical missions. The Department of Science and 
Technology (DST), Ministry of Science & Technology of Government of India and 
Ministry of Science, ICT and Future Planning (MSIP) of the Republic of Korea are the 
key agencies dedicated to the implementation of the programme in India and the 
Republic of Korea (South Korea). This Call for Proposals is to provide every duly 
applicants with the detailed information and procedures for the bilateral cooperation 
program.  
 
2. Potential Areas ofCooperation 
 
Department of Science & Technology (DST), Govt. of India and Ministry of Science, ICT 
and Future Planning (MSIP) of the Republic of Korea invite Indian and Korean scientists 
/ researchers to submit proposals for joint research projects in the following areas. 
~ 2 ~ 
 
 
• Health and Medical Sciences,  
• Engineering Sciences,  
• Information & Communication Technologies Convergence 
 
3. Eligibility 
 
The Programme is open to scientists, engineers, institutions located in India or the 
Republic of Korea that are engaged in advanced research in one or more of the subject 
areas listed above. DST and National Research Foundation (NRF, an affiliated 
organisation of MSIP) will conduct parallel review of the applications respectively based 
on the agreed criteria. 
 
Project proposal must include the name of one Principal Investigator (PI) and a Co-
Principal Investigator (Co-PI) each in India and the Republic of Korea. The PI ",16/06/2017,31/07/2017
"India - Korea Joint Network Centre - Call for Proposals - Last Date - August 16, 2017"," 
DEPARTMENT OF SCIENCE AND TECHNOLOGY,  
GOVERNMENT OF INDIA 
& 
MINISTRY OF SCIENCE, ICT AND FUTURE PLANNING 
REPUBLIC OF KOREA 
 
 
INDIA-KOREAJOINT PROGRAMME OF COOPERATION  
IN SCIENCE & TECHNOLOGY 
 
 
India-Korea Joint Network Centre 
Call for proposals 
 
Proposals to be submitted by 6:00 pm (local time) on August 16, 2017 
 
 
1. Objectives 
 
This Call for Proposals is to enable Indian and Korean scientists from academia and 
laboratories to carry out joint research activity by leveraging already existing 
infrastructure and funding available with the partners at both sides through a linkage 
established by a Joint Network Centre (JNC). Joint Network Centre aims to 
encourage joint project implementation on focal areas of thematic and knowledge 
research through networking thus, paving way to sustainable interactions by 
promoting excellence and developing long term relationship based on synergy of 
activities. Network Centre may also provide opportunities for integrating research 
with education.  
 
 
Structure of the JNC 
 
2. Potential Areas of Cooperation 
 
Department of Science & Technology (DST), Govt. of India Ministry of Science, ICT 
and Future Planning (MSIP) of the Republic of Korea invite Indian and Korean 
research groups to submit proposals for Joint Network Centre in the following 
areas: 
 
• Robotics 
• Computational Materials Science & Engineering 
 
3. Activities of the JNC 
 
When the focal coordinator draws up the proposal of JNC, the below details may be 
included. 
- Exchange of Researchers, Research students and Post-Doctoral scholars 
- Joint Seminar/Workshop/ Hands on training School (one in each country per year) 
- Joint Research 
 
When the focal coordinator draws up the proposal of JNC, the below details may be 
targeted to be delivered as outcomes. 
 
- Publish joint papers 
- Develop Prototype / Processes  
- Promoting pre-commercial R & D activities  
 
3. Eligibility Requirements 
 
(i) 
One focal lead coordinator each f",03/07/2017,16/08/2017
Bhaskara Advanced Solar Energy (BASE) Fellowship- 2017,,14/07/2017,31/08/2017
Building Energy Efficiency Higher and Advanced Network (BHAVAN) Fellowships -2017,,14/07/2017,31/08/2017
DST - RCN Norway Joint Call on ICT 2017,"DEPARTMENT OF SCIENCE & TECHNOLOGY (DST) 
and 
RESEARCH COUNCIL OF NORWAY (RCN) 
CALL FOR PROPOSALS ICT (2017) 
Last date for submission of proposals: 06 September 2017 
Under the Agreement between the Government of India and the Government of Norway on 
Cooperation in the fields of science and technology, the Department of Science and Technology 
(DST) from Indian side and the Research Council of Norway (RCN) from Norwegian side coordinate 
the programme for joint funding of collaborative research projects in mutually agreed fields to 
achieve world-class scientific results. 
 
Both sides now intend to support projects within the field of ICT research. Norwegian funding is part 
of the two Research Council of Norway (RCN) programmes INDNOR and IKTPluss.  
Up to 40 million NOK / INR 30 crore in total is available from the Research Council of Norway (RCN) for 
allocation to Norwegian institutions, funding per project (Norwegian partners) stipulated to 4-10 mill. 
NOK/ INR 3-7.5 crore per project.  
Activity matching funding is available from DST for allocation to Indian Project investigators. 
Project duration: 3 years.  
Scientific part 
Objective of this call for proposals: 
DST and RCN invite Indian and Norwegian researchers/ institutions to submit research proposals 
within the fields indicated below.  
The objective of this call is to establish joint Indian – Norwegian researcher projects that strengthen 
already on-going research activities in each research group and contribute significant added value to 
these on-going activities within ICT and the thematic areas: 
Smart environments. This area includes topics like environmental monitoring, smart 
neighborhoods, sensor networks/IoT, smart grid, monitoring for safe living, mobility and 
wireless infrastructure.Artificial intelligence, autonomous and cognitive systems. 
ICT for society. This area includes topics like educational ICT, ICT for improved e-Governance, 
human-computer interfaces with particular empha",19/04/2017,06/09/2017
