nsf_proposal_links_v0,researcher_name,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Shri Ram Yadav', 'Ramasare Prasad', 'Sonal Atreya', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Avlokita Agrawal', 'Deepak Sharma', 'Krishna Mohan Poluri', 'V Devadas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Saptarshi Kolay', 'Poonam Choudhary', 'Ashwani Kumar Sharma']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'P Gopinath', 'Gaurav Raheja', 'Pravindra Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Gaurav Raheja', 'Ramasare Prasad', 'Partha Roy']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Sachin Suresh Tiwari', 'Saugata Hazra']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Prabhjot Singh Chani', 'V Devadas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Shailly Tomar', 'Poonam Choudhary', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Srinivas Kiran Ambatipudi', 'E Rajasekar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Avlokita Agrawal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Jaydev Dabas', 'Saugata Hazra', 'Akhil Upadhyay', 'Tina Pujara']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Shri Ram Yadav', 'Poonam Choudhary', 'Ranjana Pathania']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Sanjoy Ghosh', 'Harsh Chauhan', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Partha Roy']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Harshit Sosan Lakra', 'Millie Pant', 'Saptarshi Kolay']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Arindam Biswas', 'Smriti Saraswat', 'Millie Pant']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Shri Ram Yadav', 'Tina Pujara']"
