proposal_link,proposal_id,title,bandit_positive_count,bandit_negative_count,bandit_matched
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,3,43,True
v0_002_dst_daad_germany_joint_call_for_proposal_2017,v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,1,45,True
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Call for applications under the second phase of the National Geospatial Chair Professor scheme,7,39,True
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Advertisement for submission of research proposal under Cognitive Science Research Initiative,8,38,True
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Invites Science and Technology Project Proposals - Ministry of Mines,7,39,True
v0_006_call_for_proposals_under_india_republic_of_korea_joint_programme_of_cooperation,v0_006_call_for_proposals_under_india_republic_of_korea_joint_programme_of_cooperation,Call for proposals under India-Republic of Korea Joint Programme of Cooperation,2,44,True
v0_007_india___korea_joint_network_centre___call_for_proposals___last_date___august_16_2017,v0_007_india___korea_joint_network_centre___call_for_proposals___last_date___august_16_2017,"India - Korea Joint Network Centre - Call for Proposals - Last Date - August 16, 2017",3,43,True
v0_008_bhaskara_advanced_solar_energy_base_fellowship__2017,v0_008_bhaskara_advanced_solar_energy_base_fellowship__2017,Bhaskara Advanced Solar Energy (BASE) Fellowship- 2017,1,45,True
v0_009_building_energy_efficiency_higher_and_advanced_network_bhavan_fellowships__2017,v0_009_building_energy_efficiency_higher_and_advanced_network_bhavan_fellowships__2017,Building Energy Efficiency Higher and Advanced Network (BHAVAN) Fellowships -2017,5,41,True
v0_010_dst___rcn_norway_joint_call_on_ict_2017,v0_010_dst___rcn_norway_joint_call_on_ict_2017,DST - RCN Norway Joint Call on ICT 2017,2,44,True
v0_011_call___india_japan_cooperative_science_programme_ijcsp,v0_011_call___india_japan_cooperative_science_programme_ijcsp,Call - India-Japan Cooperative Science Programme (IJCSP),6,40,True
v0_012_national_award_for_women_development_through_application_of_science__technology,v0_012_national_award_for_women_development_through_application_of_science__technology,National Award for Women Development through Application of Science & Technology,3,43,True
v0_013_national_awards_for_science__technology_communication_2017,v0_013_national_awards_for_science__technology_communication_2017,National Awards For Science & Technology Communication 2017,1,45,True
v0_014_dst___ukieri_call_for_research_proposals_2017__18,v0_014_dst___ukieri_call_for_research_proposals_2017__18,DST - UKIERI Call for Research Proposals 2017- 18,1,45,True
v0_015_request_for_proposals_india_italy_industrial_rd,v0_015_request_for_proposals_india_italy_industrial_rd,Request for Proposals: India Italy Industrial R&D,1,45,True
v0_016_call_for_proposals_2017___indo_hungarian_joint_research,v0_016_call_for_proposals_2017___indo_hungarian_joint_research,Call for Proposals 2017 - Indo-Hungarian Joint Research,2,44,True
v0_017_indo_norway_joint_call_on_bio_economy,v0_017_indo_norway_joint_call_on_bio_economy,Indo-Norway Joint Call on Bio-Economy,1,45,True
v0_018_joint_call_between_india_and_austria_for_exchange_visits,v0_018_joint_call_between_india_and_austria_for_exchange_visits,Joint Call between India and Austria for exchange visits,1,45,True
v0_019_dst_dfg_awards_for_participation_in_the_68th_meeting_of_nobel_laureates__students_lindau_germany,v0_019_dst_dfg_awards_for_participation_in_the_68th_meeting_of_nobel_laureates__students_lindau_germany,"DST-DFG Awards for participation in the 68th Meeting of Nobel Laureates & Students, Lindau, Germany",1,45,True
v0_020_advertisement_for_call_for_proposal_for_dst_nrdms_summerwinter_schools_in_geospatial_st___2017___2019,v0_020_advertisement_for_call_for_proposal_for_dst_nrdms_summerwinter_schools_in_geospatial_st___2017___2019,Advertisement for call for proposal for DST-NRDMS Summer/Winter Schools in Geospatial S&T - 2017 - 2019,8,38,True
v0_021_call_for_proposals_in_basic_sciences_with_russia_russian_foundation_for_basic_research,v0_021_call_for_proposals_in_basic_sciences_with_russia_russian_foundation_for_basic_research,Call for proposals in Basic Sciences with Russia (Russian Foundation for Basic Research),5,41,True
v0_022_funding_opportunity_announcement_foa_smart_grids,v0_022_funding_opportunity_announcement_foa_smart_grids,Funding Opportunity Announcement (FOA): Smart Grids,11,35,True
v0_023_multi_institutional_centres_on_materials_for_energy_conservation_and_storage_platform_mecsp___2017,v0_023_multi_institutional_centres_on_materials_for_energy_conservation_and_storage_platform_mecsp___2017,Multi-Institutional Centres on Materials for Energy Conservation and Storage Platform (MECSP) - 2017,4,42,True
v0_024_interdisciplinary_cyber_physical_systems_icps_division_detailed_call_for_proposals_cfp_on_quantum_information_science_and_technology_qust_programme,v0_024_interdisciplinary_cyber_physical_systems_icps_division_detailed_call_for_proposals_cfp_on_quantum_information_science_and_technology_qust_programme,Interdisciplinary Cyber Physical Systems (ICPS) Division Detailed Call For Proposals (CFP) on Quantum Information Science and Technology (QuST) Programme,6,40,True
v0_025_dst_daad_joint_call_2017_recommended_projects,v0_025_dst_daad_joint_call_2017_recommended_projects,DST-DAAD Joint call 2017: Recommended projects,8,38,True
v0_026_3rd_information__networking_event_eu_india_call_on_water,v0_026_3rd_information__networking_event_eu_india_call_on_water,3rd Information & Networking Event: EU-India Call on Water,7,39,True
v0_027_4th_information__networking_event_eu_india_call_on_water,v0_027_4th_information__networking_event_eu_india_call_on_water,4th Information & Networking Event: EU-India Call on Water,7,39,True
v0_028_funding_opportunity_announcement_foa_off_grid_access_to_electricity,v0_028_funding_opportunity_announcement_foa_off_grid_access_to_electricity,Funding Opportunity Announcement (FoA): Off Grid Access to Electricity,4,42,True
v0_029_date_extended_upto_18th_january_2018_for_2017_brics_call_for_proposals_for_brics_multilateral_rd_projects,v0_029_date_extended_upto_18th_january_2018_for_2017_brics_call_for_proposals_for_brics_multilateral_rd_projects,Date Extended upto 18th January 2018 for 2017 BRICS Call for Proposals for BRICS Multilateral R&D Projects,3,43,True
v0_030_call_for_concept_note_in_waste_management_technologies,v0_030_call_for_concept_note_in_waste_management_technologies,Call for Concept Note in Waste Management Technologies,7,39,True
v0_031_2018_commonwealth_scholarship_in_the_united_kingdom,v0_031_2018_commonwealth_scholarship_in_the_united_kingdom,2018 Commonwealth Scholarship in the United Kingdom,4,42,True
v0_032_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,v0_032_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,Indo-German Science & Technology Centre (IGSTC) Announces Call for Grant Applications for Indo-German R & D Partnership on research projects with industrial relevance.,8,38,True
v0_033_call_for_proposals___2018_under_india___iran_bilateral_st_cooperation,v0_033_call_for_proposals___2018_under_india___iran_bilateral_st_cooperation,Call for Proposals - 2018 under India - Iran Bilateral S&T Cooperation,1,45,True
v0_034_call_for_proposal_for_device_development_programme___2017,v0_034_call_for_proposal_for_device_development_programme___2017,Call for Proposal for Device Development Programme - 2017,5,41,True
v0_035_call_for_proposal___science__heritage_research_initiativeshri,v0_035_call_for_proposal___science__heritage_research_initiativeshri,Call for proposal - Science & Heritage Research Initiative(SHRI),8,38,True
v0_036_indo___norway_joint_energy_call_2017,v0_036_indo___norway_joint_energy_call_2017,Indo - Norway Joint Energy Call 2017,1,45,True
