nsf_proposal_links_v0,researcher,pseudo_skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,['decade']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saptarshi Kolay,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shubhajit Sadhukhan,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jaydev Dabas,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Millie Pant,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajan Arora,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ashwani Kumar Sharma,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Bijan Choudhury,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Debabrata Sircar,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Deepak Sharma,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,P Gopinath,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harsh Chauhan,"['decade', 'pace']"
