proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Arindam Biswas,"[['Arindam Biswas', 'Sonal Atreya', 'Prabhat Kumar Mandal', 'Maya S.Nair', 'Jitin Singla'], ['Arindam Biswas', 'Ranjana Pathania', 'Pravindra Kumar', 'Shailly Tomar', 'N K Navani'], ['Arindam Biswas', 'Sonal Atreya', 'Debabrata Sircar', 'Maya S.Nair'], ['Arindam Biswas', 'Ranjana Pathania', 'Prabhat Kumar Mandal', 'Debabrata Sircar'], ['Arindam Biswas', 'Ram Sateesh Pasupuleti', 'Ranjana Pathania', 'Deepak Sharma'], ['Arindam Biswas', 'Ashwani Kumar Sharma', 'Debabrata Sircar', 'Partha Roy'], ['Arindam Biswas', 'V Devadas', 'Smriti Saraswat'], ['Arindam Biswas', 'Soma Rohatgi', 'N K Navani'], ['Arindam Biswas', 'Shailly Tomar', 'Soma Rohatgi'], ['Arindam Biswas', 'Ranjana Pathania']]","[0.625, 0.625, 0.6, 0.6, 0.6, 0.6, 0.575, 0.575, 0.575, 0.4875]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Avlokita Agrawal,"[['Avlokita Agrawal', 'Shailly Tomar', 'Sachin Suresh Tiwari', 'Soma Rohatgi', 'Smriti Saraswat'], ['Avlokita Agrawal', 'Prabhat Kumar Mandal', 'Maya S.Nair', 'Soma Rohatgi', 'N K Navani'], ['Avlokita Agrawal', 'Ashwani Kumar Sharma', 'Arindam Biswas', 'N K Navani', 'Sachin Suresh Tiwari'], ['Avlokita Agrawal', 'Jitin Singla', 'Debabrata Sircar', 'V Devadas'], ['Avlokita Agrawal', 'P Gopinath', 'Smriti Saraswat', 'N K Navani', 'Pravindra Kumar'], ['Avlokita Agrawal', 'Soma Rohatgi', 'Partha Roy', 'Jitin Singla'], ['Avlokita Agrawal', 'Smriti Saraswat', 'Shailly Tomar', 'N K Navani'], ['Avlokita Agrawal', 'Sachin Suresh Tiwari', 'Maya S.Nair', 'Partha Roy'], ['Avlokita Agrawal', 'Sonal Atreya', 'N K Navani'], ['Avlokita Agrawal', 'Arindam Biswas', 'Partha Roy']]","[0.625, 0.625, 0.625, 0.6, 0.5625, 0.5375, 0.5375, 0.5375, 0.5125, 0.5125]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Gaurav Raheja,"[['Gaurav Raheja', 'V Devadas', 'Soma Rohatgi', 'Sachin Suresh Tiwari', 'Krishna Mohan Poluri'], ['Gaurav Raheja', 'V Devadas', 'Debabrata Sircar', 'Smriti Saraswat'], ['Gaurav Raheja', 'P Gopinath', 'Prabhat Kumar Mandal', 'Jitin Singla'], ['Gaurav Raheja', 'Maya S.Nair', 'Smriti Saraswat', 'Ashwani Kumar Sharma'], ['Gaurav Raheja', 'N K Navani', 'V Devadas'], ['Gaurav Raheja', 'Ashwani Kumar Sharma', 'Krishna Mohan Poluri'], ['Gaurav Raheja', 'Krishna Mohan Poluri'], ['Gaurav Raheja', 'Tina Pujara', 'Jitin Singla'], ['Gaurav Raheja', 'Shailly Tomar', 'Partha Roy'], ['Gaurav Raheja', 'Maya S.Nair']]","[0.625, 0.6, 0.5375, 0.5375, 0.5125, 0.5125, 0.425, 0.325, 0.325, 0.2375]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Harshit Sosan Lakra,"[['Harshit Sosan Lakra', 'Debabrata Sircar', 'N K Navani', 'Partha Roy', 'Sonal Atreya'], ['Harshit Sosan Lakra', 'Prabhat Kumar Mandal', 'Arindam Biswas', 'Ashwani Kumar Sharma'], ['Harshit Sosan Lakra', 'N K Navani', 'Arindam Biswas', 'V Devadas'], ['Harshit Sosan Lakra', 'V Devadas', 'Sonal Atreya'], ['Harshit Sosan Lakra', 'Sonal Atreya', 'Prabhat Kumar Mandal'], ['Harshit Sosan Lakra', 'Debabrata Sircar', 'Prabhat Kumar Mandal'], ['Harshit Sosan Lakra', 'Shailly Tomar', 'Jitin Singla', 'Ashwani Kumar Sharma', 'Deepak Sharma'], ['Harshit Sosan Lakra', 'V Devadas', 'Jitin Singla'], ['Harshit Sosan Lakra', 'Maya S.Nair', 'Prabhat Kumar Mandal'], ['Harshit Sosan Lakra', 'Tina Pujara']]","[0.625, 0.6, 0.6, 0.575, 0.575, 0.575, 0.5625, 0.5125, 0.5125, 0.2375]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Mahua Mukherjee,"[['Mahua Mukherjee', 'Soma Rohatgi', 'Tina Pujara', 'Prabhat Kumar Mandal', 'Jitin Singla'], ['Mahua Mukherjee', 'Sachin Suresh Tiwari', 'Partha Roy', 'Tina Pujara', 'Maya S.Nair'], ['Mahua Mukherjee', 'Soma Rohatgi', 'Pravindra Kumar', 'Deepak Sharma'], ['Mahua Mukherjee', 'Ram Sateesh Pasupuleti', 'Krishna Mohan Poluri', 'Sonal Atreya'], ['Mahua Mukherjee', 'Maya S.Nair', 'Smriti Saraswat', 'Prabhat Kumar Mandal'], ['Mahua Mukherjee', 'Arindam Biswas', 'Ram Sateesh Pasupuleti', 'Deepak Sharma'], ['Mahua Mukherjee', 'Shailly Tomar', 'Sonal Atreya'], ['Mahua Mukherjee', 'Pravindra Kumar'], ['Mahua Mukherjee', 'Maya S.Nair'], ['Mahua Mukherjee', 'Ashwani Kumar Sharma']]","[0.625, 0.625, 0.6, 0.6, 0.6, 0.6, 0.575, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Prabhjot Singh Chani,"[['Prabhjot Singh Chani', 'Arindam Biswas', 'Krishna Mohan Poluri'], ['Prabhjot Singh Chani', 'Ashwani Kumar Sharma', 'Ram Sateesh Pasupuleti', 'Tina Pujara', 'Soma Rohatgi'], ['Prabhjot Singh Chani', 'Partha Roy', 'Shailly Tomar', 'Debabrata Sircar'], ['Prabhjot Singh Chani', 'Sachin Suresh Tiwari', 'Maya S.Nair'], ['Prabhjot Singh Chani', 'Prabhat Kumar Mandal'], ['Prabhjot Singh Chani', 'P Gopinath', 'N K Navani', 'Ashwani Kumar Sharma', 'Maya S.Nair'], ['Prabhjot Singh Chani', 'Ram Sateesh Pasupuleti', 'Shailly Tomar'], ['Prabhjot Singh Chani', 'Pravindra Kumar', 'Tina Pujara'], ['Prabhjot Singh Chani', 'Shailly Tomar'], ['Prabhjot Singh Chani', 'Jitin Singla']]","[0.575, 0.5625, 0.5375, 0.45, 0.425, 0.375, 0.325, 0.325, 0.2375, 0.2375]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",E Rajasekar,"[['E Rajasekar', 'Tina Pujara', 'Smriti Saraswat', 'Sachin Suresh Tiwari', 'Shailly Tomar'], ['E Rajasekar', 'Shailly Tomar', 'Soma Rohatgi', 'Partha Roy', 'Jitin Singla'], ['E Rajasekar', 'Prabhat Kumar Mandal', 'Sachin Suresh Tiwari', 'V Devadas', 'Maya S.Nair'], ['E Rajasekar', 'Maya S.Nair', 'Sonal Atreya', 'P Gopinath', 'Pravindra Kumar'], ['E Rajasekar', 'Deepak Sharma', 'Soma Rohatgi', 'Shailly Tomar', 'Smriti Saraswat'], ['E Rajasekar', 'Deepak Sharma', 'Sachin Suresh Tiwari', 'Tina Pujara', 'Sonal Atreya'], ['E Rajasekar', 'Sonal Atreya', 'N K Navani', 'Deepak Sharma'], ['E Rajasekar', 'N K Navani', 'Ram Sateesh Pasupuleti', 'Soma Rohatgi'], ['E Rajasekar', 'Smriti Saraswat', 'Prabhat Kumar Mandal'], ['E Rajasekar', 'Jitin Singla']]","[0.625, 0.625, 0.625, 0.625, 0.625, 0.625, 0.6, 0.6, 0.575, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Ram Sateesh Pasupuleti,"[['Ram Sateesh Pasupuleti', 'Pravindra Kumar', 'Jitin Singla', 'Arindam Biswas', 'Sachin Suresh Tiwari'], ['Ram Sateesh Pasupuleti', 'Krishna Mohan Poluri', 'V Devadas', 'Sachin Suresh Tiwari', 'Debabrata Sircar'], ['Ram Sateesh Pasupuleti', 'Smriti Saraswat', 'Sonal Atreya'], ['Ram Sateesh Pasupuleti', 'Sachin Suresh Tiwari', 'V Devadas'], ['Ram Sateesh Pasupuleti', 'Arindam Biswas', 'Sonal Atreya'], ['Ram Sateesh Pasupuleti', 'N K Navani', 'Prabhat Kumar Mandal', 'Ashwani Kumar Sharma'], ['Ram Sateesh Pasupuleti', 'Krishna Mohan Poluri', 'Maya S.Nair'], ['Ram Sateesh Pasupuleti', 'Krishna Mohan Poluri'], ['Ram Sateesh Pasupuleti', 'P Gopinath', 'Shailly Tomar'], ['Ram Sateesh Pasupuleti', 'Ashwani Kumar Sharma']]","[0.625, 0.625, 0.575, 0.575, 0.575, 0.5375, 0.5125, 0.4875, 0.325, 0.3]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Saptarshi Kolay,"[['Saptarshi Kolay', 'Arindam Biswas', 'Smriti Saraswat', 'Partha Roy', 'Deepak Sharma'], ['Saptarshi Kolay', 'Partha Roy', 'Arindam Biswas', 'Krishna Mohan Poluri'], ['Saptarshi Kolay', 'Sonal Atreya', 'Partha Roy', 'P Gopinath'], ['Saptarshi Kolay', 'Partha Roy', 'Krishna Mohan Poluri', 'Tina Pujara'], ['Saptarshi Kolay', 'N K Navani', 'Deepak Sharma'], ['Saptarshi Kolay', 'Prabhat Kumar Mandal'], ['Saptarshi Kolay', 'Debabrata Sircar'], ['Saptarshi Kolay', 'P Gopinath'], ['Saptarshi Kolay', 'Jitin Singla'], ['Saptarshi Kolay', 'Ashwani Kumar Sharma']]","[0.625, 0.6, 0.5375, 0.5375, 0.5125, 0.425, 0.425, 0.2375, 0.2375, 0.2375]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Shubhajit Sadhukhan,"[['Shubhajit Sadhukhan', 'Sonal Atreya', 'N K Navani', 'Sachin Suresh Tiwari'], ['Shubhajit Sadhukhan', 'Smriti Saraswat', 'Sachin Suresh Tiwari', 'Sonal Atreya'], ['Shubhajit Sadhukhan', 'Sachin Suresh Tiwari', 'Krishna Mohan Poluri', 'Shailly Tomar'], ['Shubhajit Sadhukhan', 'Debabrata Sircar', 'Sonal Atreya', 'Jitin Singla'], ['Shubhajit Sadhukhan', 'Sonal Atreya', 'V Devadas'], ['Shubhajit Sadhukhan', 'Tina Pujara', 'P Gopinath', 'Smriti Saraswat', 'Pravindra Kumar'], ['Shubhajit Sadhukhan', 'Jitin Singla', 'Shailly Tomar', 'Partha Roy', 'Deepak Sharma'], ['Shubhajit Sadhukhan', 'P Gopinath', 'Arindam Biswas'], ['Shubhajit Sadhukhan', 'Ram Sateesh Pasupuleti', 'Sachin Suresh Tiwari'], ['Shubhajit Sadhukhan', 'Ashwani Kumar Sharma', 'P Gopinath']]","[0.6, 0.6, 0.6, 0.6, 0.575, 0.5625, 0.5625, 0.5125, 0.45, 0.325]"
