all_skills
smart city
smart city mission
result
city mission
sincere appreciation
sentiment analysis
responsibility
engineering college
associate professor
purpose india
spark
indian urbanization
paper
diffusion
city building
arindam biswas
challenging problem
accolade
complex puzzle
indian institute
strength
needed focus
urban development
opportunity
cursive handwriting
area
student
department
doctorate
outcome
control system
study
new dwelling
sandeep agrawal
increase population
nikhat parvez
model
building
north india
commitment
manuscript
building control system
akhilesh kumar
government institute
global warming
education institution
agrawal director
new zealand government
premier government
place
immersive experience
concept
building control
sandeep agrawal director
high education institution
high education
monitoring mechanism
new zealand
hei
fundamental
architecture
zealand government
premier government institute
historical development
author
avlokita agrawal
traditional teaching
abstract modernism
traditional teaching practice
diverse campus
environment
indian city
rhetoric design
assistant professor
different approachesnon rhetoric design
paper share
indian railway station
critical regionalism
exist literature
failure
indian railway
sterile abstract
profound understanding
architectural concept
local need
architect
railway station
mean attempt
high education campus
thinking outlook
architectural approach
interview study
gaurav assistant professor department
multidimensional challenge
professor department
gaurav raheja
approachesnon rhetoric
visual impairment
enabling environment
design culture
teaching practice
different approachesnon
social thinking
sterile abstract modernism
social thinking outlook
gaurav assistant
education campus
million toilet
harshit sosan
sosan lakra
harshit sosan lakra
situation
india
low density urban sprawl
building science
educational institution
asian region
mahua mukherjee
disaster
mahua mukherjee study architecture
graduation
sustainable total living
shankar
open overlay
low density
shaila bantanur
integrated digital interface
urban sprawl
design communication
overlay panel
global population
present city
density urban
integrated digital
geographical information
doctoral study
procedure
aptitude
information system
open overlay panel
total living
author link
event
information modeling
study architecture
geographical information system
fragile infrastructure
mukherjee study
digital interface
demand
sustainable total
sacred site
heritage site
embody energy rate
cost housing
turbine test
energy consumption
thermal discomfort
test lab
housing scheme
religious heritage
prime religious heritage site
office cum
different window wall ratio
paradigm shift
low cost housing scheme
energy simulation test
army cantonment
city
propose office
old bhubaneswar precinct
wall element
wall ratio
cum hydro
hydro turbine
low cost
major component
energy simulation
internal service
bhubaneswar precinct
huge implication
embody energy
energy rate
simulation test
prime religious
traveller
window wall
propose office cum hydro turbine test lab
range
rahman azari
different window
illinois institute
travel experience
old bhubaneswar
climatic condition
transient heat conduction
climate severity
building wall
heat conduction
residential zone civil line
major source
civil line
enclosure wall
dimensional model
multi storeye
software
climate severity variation
residential zone
build enclosure wall
impact
arcgis software
different climatic condition
indoor lighting
transient heat
storeye building
wall material
east
climate datum
different building
multi storeye building
carbon emission
construction industry
different climatic
zone civil
composite climate
different building wall material
severity variation
building construction industry
design aid
build enclosure
building construction
increase number
thermal property
hydro power
oral histopathology
high quality
financial support
chicago loop
disaster risk reduction
power structure
novel approach
review paper
kumar ray
great shift
keynote talk
mechanism synthesis
mass underwater concreting project
chaos intermittency
authority
mega hydro
chaos chaos intermittency
chaos chaos
peer review
mega hydro power structure
risk reduction
histopathology image
memory storage
collection
disaster management
quality peer
relevant book
ajoy kumar
statistical form
main campus
professor ramgopal rao
disaster risk
ajoy kumar ray
concreting project
storage system
renowned architect
book
urbanization crime
current pace
underwater concreting
high quality peer review paper
mass underwater
oral histopathology image
faculty member
professor ramgopal
ramgopal rao
memory storage system
snflandrc olarak
young researcher
kolay bir
temel istatistiksel snflandrclardan
greening
kullanm kolay bir snflandrc olarak
connected intelligence
review process
heat island
large dedicated
tercih edilen naive bayes
translational interdisciplinary capacity building
great productivity
support
nishath salma
bir snflandrc
large dedicated group
colleague
edilen naive
saptarshi kolay
national importance
student volunteer
kullanm kolay
urban heat
manufacture enterprise
istatistiksel snflandrclardan
urban heat island effect
tercih edilen
world
information design
translational interdisciplinary
naive bayes
medicine label
foremost
design
science education
capacity building
iisc bengaluru
interdisciplinary capacity
developmental professional science education
island effect
temel istatistiksel
dedicated group
professional science
conference programme
use
sphere
developmental professional
fold growth
green house
public transportation
metro station
auto rickshaw
demand management instrument
vortex chamber
sixth international conference
fluidize bed
economic industrial development
management instrument
letter
healthy environment
number
green house gas
demand management
international conference
future
survival
para transit
background india
give area
important mode
house gas
dixit approach
transfer facility
economic industrial
sixth international
transportation sector
role
static geometry
proceeding
ghg emission
priority
country
industrial development
liberalized economic
great consumer
vishal saraswat
rk nagaria
reflection
liberalized economic policy
vidya dahejia
lopsided growth
program chair
india prof rk nagaria
sanskrit word
india prof
source image
surname
smriti saraswat
decade
economic policy
woman
guidance
prof rk
koti banal
koti banal architecture
smriti dwivedi
tall building
huge
banal architecture
indigenous reality
interior architect
biomedical engineering
rediscovery
intelligent system
senate
public space
kusum atreya
joint tech
mom kusum
bachelor
master degree
atreya sonal
phd
tech programme
credit
trend
bachelor degree
master
step
combination
persistent encouragement
significance
mom kusum atreya
joint tech programme
sonal atreya sonal atreya
sonal atreya
centre
safe sustainable
open space
quan jordi lpez camp
important part
lpez camp
synchronously grow cardiacum
pleasant social
cristians pel
bicycle safety
world large
quan jordi
safe sustainable accommodation
de cristians
jordi lpez
synchronously grow
recerq ue
social group
generation cycle
pel socialisme
compan de
cytological morphological technique
background asia
sense
sustainable accommodation
populous continent
cytological morphological
feedback evaluation
principal concern
de cristians pel socialisme
major
ultraviolet radiosensitivity
public open
morphological technique
anopheline mosquito
compan de recerq ue
large populous
taxonomy
interaction
pleasant social relationship
de recerq
social relationship
population
public open space
grow cardiacum
world large populous continent
sulfurrich copolymer
stainless steel
computational drug design
traditional building
rental housing
uttam kumar roy
computational drug
proper drug design
major waste
conventional deadline
constantinos antoniou
bipolar plate
vibrant housing
building material
scalable low
common building material
latency quality
low latency
scalable low latency quality
kumar roy
critical feature
late advance
characterization facility
common building
rural
corba application
uttam kumar
vibrant housing market
drug design
intelligent technique
resource
adsorption behavior
housing market
emmanouil chaniotakis
bandgap alignment
band position
elemental sulfur
electrical conductivity
proper drug
iisiiig lliiaptaijrili
vehicular growth
theory
work
reason
suggestion
system
rapid urbanization
corporation
raclise feat
rapid vehicular growth
pillai
migration economic
rapid pace
rapid vehicular
economic upsurge
ore oif
thesis
distinguished climate
supervision
oif iisiiig
aspect
urban migration
urban migration economic upsurge
ali raclise
development plan
ali ali
feat ore
survey
case
dynamic technique
ali ali raclise feat ore oif iisiiig lliiaptaijrili
waste quantity
urban climate
main work
order semilinear
semilinear evolution
jaydev daba
article
solution
jay daba
impulsive fractional integral boundary value problem
approximate controllability problem
copyright jaydev
fractional evolution equation
fractional integral
fractional order
continuous dependence result
et al
second order
boundary value
impulsive fractional
approximate controllability
functional differential
differential system
controllability problem
fractional functional
impulsive differential
impulsive functional
continuous dependence
fractional evolution
differential equation
integral boundary
general framework
copyright jaydev daba et al
class
existence uniqueness
daba et
abstract fractional
value problem
investigation
fractional impulsive differential equation
existence
dependence result
impulsive differential equation
fractional impulsive
evolution equation
abstract fractional functional integro differential equation
integro differential
semilinear impulsive functional differential system
functional integro
semilinear impulsive
impulsive fractional order semilinear evolution equation
global optimization problem
phase global
global optimization
education sector ie educational supply chain management
present study
bee colony
hybrid phase
artificial bee
variant
nsga ii
academic department
improved version
multi objective
supply chain management concept
optimization problem
millie pant
management concept
ie educational
hybrid phase global optimization algorithm
popular multi objective optimization algorithm nsga ii
educational supply
efficiency
new variant
education sector
particle swarm optimization
nineteen academic
objective optimization
nineteen academic department
popular multi
artificial bee colony
algorithm nsga
swarm optimization
apply science
particle swarm
optimization algorithm
extensive review
applied science
novlty
supply chain
sector ie
chain management
solitary wave
variational iteration
different type
variational iteration method
undergraduate student
geometrical acoustic
senior undergraduate student
expert
non linear
high frequency
wave propagation
exact solitary
reduced differential transform method
modified equal
exact solution
wave equation
wave solution
width wave
shock wave propagation
reduced differential
homotopy analysis
far field
asymptotic solution
approximate analytic
rajan arora
weakly non
small amplitude
information technology
field behaviour
amplitude wave
amplitude high
equal width
numerical solution
analysis method
modified equal width wave equation
small amplitude wave
homotopy analysis method
transform method
acoustic theory
approximate solution
differential transform
well approximate
frequency asymptotic
linear geometrical
far field behaviour
basic equation
modify form
exact solitary wave solution
shock wave
senior undergraduate
iteration method
well approximate solution
approximate analytic solution
weakly non linear geometrical acoustic theory
small amplitude high frequency asymptotic solution
analytic solution
fibrinolytic activity
plasticizer
metabolic pathway
peroxidase family
individual unit
biotechnological potential
process
macromolecular crystallographic
macromolecular crystallographic unit
thank mhrd
shailly tomar
kda serine protease
decolorize peroxidase
prof shailly
kda serine
chitin metabolic
computational facility
crystallographic unit
pest management
chitin metabolic pathway
savita bk
material
dye decolorize
lucrative target
key step
endocrine disruptor
unique heme peroxidase family
potential carcinogen
gaussian software
serine protease
unique heme
prof shailly tomar
farnesol dehydrogenase
oxidation reaction
management regime
latex
dye decolorize peroxidase
heme peroxidase
pest management regime
current knowledge
wu zhejiang
biodiesel manufacturing
enrich branched chain fatty acid
fuli wu
azo dye
sponsor project
industrially important
stress condition
industrially important product
nishchal verma
microbial remediation
second international conference
west bohemia
haloalkaliphilic bacterium
soil sample
sambhar lake
degree
electrical communication
biodiesel manufacturing industry
crude glycerol
information technology allahabad
branched chain
important product
trehalose biosynthesis
hypersaline environment
second international
manufacturing industry
chain fatty
institute
pr china
electronics electrical
pr china nishchal verma
cold flow property
india fuli
flow property
india fuli wu zhejiang
enrich branched
fatty acid
technology allahabad
novel haloalkaliphilic bacterium
direct guidance
novel haloalkaliphilic
communication engineering
potential
electronics electrical communication engineering
cold flow
china nishchal
oxidation stability
biologically active
dual band operation
derive fibrous
bear adventitious
artificial bone
ruta chalepensis
quality attribute
active coumarin
value health
economically important tropical palm fruit
shoot bear adventitious crown root
graphene patch
patch antenna
protective property
hplc method
graft substitute
coconut water
suspension culture
nutritional value
economically important
cell suspension
important tropical
tropical palm
crown root
molecular mechanism
high nutritional value health protective property
health protective
ideal scaffold
graphene patch antenna
bone graft
simultaneous determination
medicinal plant
time course
remarkable nutritional
reverse phase
band operation
biologically active coumarin
cell suspension culture
time course variation
dual band
fibrous root
high nutritional
root system
palm fruit
remarkable nutritional value
endosperm
extracellular matrix
highly derive fibrous root system
adventitious crown
shoot bear
artificial bone graft substitute
nutritionally important quality attribute
nutritionally important
important quality
coconut product
highly derive
course variation
presence
highly functionalize isochroman
zirconate titanate
dermal patch
titanium oxynitride
electrical property
ultrathin high titanium oxynitride
metallic object
deepak sharma
lead zirconate
chalcogenide material
highly enantio
highly enantio diastereoselective synthesis
phase change memory pcm cell
cardiac ischemia
phase change memory
bilayere dermal
highly functionalize
secure model
scale rearrangement
phase change
enantio diastereoselective
organocatalyze domino
domino reaction
atomic scale
hybrid layered
inflammatory property
rapid manufacturing
change memory
rapid manufacturing process
diastereoselective synthesis
ultrathin high
high titanium
inhibit growth
layered manufacturing
multifunctional bilayere
functionalize isochroman
multifunctional bilayere dermal patch
antioxidant anti
pcm cell
decrease
ferroelectric film
graftversushost disease
organocatalyze domino reaction
single crystal
nmr
anti inflammatory
thin lead
manufacturing process
hybrid layered manufacturing
antibacterial antioxidant anti inflammatory property
nm thin lead zirconate titanate
cytokine production
atomic scale rearrangement
condition
nm thin
structural relaxation
antibacterial antioxidant
memory pcm
organic inorganic content
currently available medication
rri bangalore
reji philip
replacement
catalytic cys
prevalence
pramod gopinath orcid logo
multicolour fluorescent
gopinath orcid
pramod gopinath
available medication
fluorescent carbon
orcid logo
conformational behavior
uday kumar
lot
clinically orthopaedic implant material
organic inorganic
intriguing fluorescence
orthopaedic implant
clinically orthopaedic
novel step method
surface functionalize
surface functionalize carbon dot
novel step
multi resistant
importance
ineffective treatment
step method
inorganic content
multi resistant organism
nanoscale material
biological application
polyethylene glycol
carrier system
nanoscale carrier
doctoral degree
multifunctional nanoscale carrier system
resistant organism
currently available
multicolour fluorescent carbon dot
carbon dot
fluorescence property
implant material
multifunctional nanoscale
k
functionalize carbon
waste biomass
honey john
intriguing fluorescence property
scan facility
harsh reaction
reaction condition
large amount
faculty initiation grant
synthetic route
double distilled
faculty initiation
charantia mc
field area
suitability
long reaction
purpose
high nutritional quality
twitter analytic
cold room
mc seed
reaction time
thermal degradation
double distilled water
min
nutritional quality
establish synthetic route
select cultivar
long reaction time
nano facility
central facility
drawback
establish synthetic
edible crop
momordica charantia
harsh reaction condition
polymer
momordica charantia mc seed
distilled water
moisten blotting
initiation grant
dr kiran
kiran ambatipudi
dr kiran ambatipudi
lab
proteomic lab
petroleum fuel
antimicrobial agent
carbon footprint
environmental pollution
mohan poluri
fingerprinting technique
blood sample
grow need
recurrent antimicrobial agent
throughput fingerprinting
year
open overlay panel shweta tripathi
nmrbase metabolomic approach
high throughput fingerprinting technique
krishna mohan poluri
healthy human
nmrbase metabolomic
healthy human volunteer
biofilm architecture
recurrent antimicrobial
high throughput
antifungal resistance
bacterial biofilm
panel shweta
human volunteer
nuclear magnetic
high rate
krishna mohan
promising alternative
magnetic resonance
deteriorate outcome
nuclear magnetic resonance
shweta tripathi
resistance
recent advance
metabolomic approach
field
microalgal lipid
summer internship
maya software
different image
stilbene compound
sparc
land
senior academician
degree college
summer internship programme
fruit leaf
fruit leaf extract
technical education
interesting tribal
dravidian family
therapeutic purpose
form
graduate degree college
serum albumin
leaf extract
averrhoa bilimbi
target release
human serum
internship programme
graduate degree
interesting tribal language
bioactive molecule
ccis volume
refereed proceeding
lab computational facility
tribal language
lab computational
human serum albumin
mdr gram negative pathogen
sewage water
treat sewage
human ethic
technical staff
synthesis
sample
assay
gram negative
ethic consideration
train technical staff
support ag
glass slide
emergence
pond water
lawn
ag nanoparticle
novel technique
silver core
posdoctoral fellow
treat sewage water
conductance limitation
shell nanoparticle
support ag nanoparticle
human ethic consideration
chronic infection
train technical
jeol microscope
negative pathogen
silver np
mdr gram
multimodal framework
digital medium
novel multimodal framework
transportation system
pratim roy
computer science
visual surveillance
immense
intelligent transportation system
challenge
mean
manual signa
intelligent transportation
bionanocomposite
partha pratim
evolution
recommendation system
isolated sign
main part
partha pratim roy
electrical cue
sign language
novel multimodal
isolated sign language recognition
impaired people
cellulose nanocrystal
language recognition
phd degree
wastewater integration
process technology
production potential
domestic grey
cost effectiveness
native microalgae
phd work
unknown filamentous fungus
dump site
pilot scale algal biofilm reactor
facility
know fungal
biomass production potential
coproduct generation wastewater integration
coproduct generation
know fungal isolate
establish energy cost effectiveness
major limitation
algal biofilm
biomass potential
domestic grey water
algae
native microalgae consortium
continuous supply
engineering department
detailed characterization
poonam choudhary
anaerobic digestion
extensive detailed characterization
energy cost
algal biofuel
fungal isolate
extensive detailed
pilot scale
drain
biofilm reactor
present work
establish energy
filamentous fungus
unknown filamentous
biomass production
microalgae consortium
grey water
generation wastewater
scale algal
livestock wastewater
percent
prabhat kumar mahanti
kumar mahanti
electronic good
inclined coal
energy harvesting
canada swapan bhattacharya
new brunswick
major concern
stratum control
rock mass
canada swapan
failure mechanism
lead free
national agricultural education system
prabhat kumar
quality education
lead free halide perovskite
halide perovskite
education system
overall objective
experiment
underground coal
swapan bhattacharya
abstract analysis
inclined coal pillar
photovoltaic energy
immense popularity
development
photovoltaic energy harvesting application
relevant high quality education
relevant high
harvesting application
free halide
ally sector
geological discontinuity
different geological discontinuity
major benefit
national agricultural
underground coal mining
coal mining
ethical principle
agricultural education
excavation
declaration
coal pillar
different geological
dr pranita
family gtpase
numerous cellular
rho family gtpase
numerous cellular process
rho family
doctorate degree
professor
cellular process
molecular switch
penicillin bind
bind protein
aureus
prof pravindra
immunocompromise patient
nosocomial infection
penicillin bind protein
quantum mechanic
pravindra kumar
anaerobic chamber
quantum mechanic study
removal
rise antibiotic
smile
whitley
prof pravindra kumar
novel esterase
mechanic study
klebsiella pneumonia
alarming rate
rise antibiotic resistance
antibiotic resistance
sri vat
brazil prof
prof nikitasm
signal processing
morale
vertical guinier camera
ghassen ben
expression
prince mohammad
ghassen ben brahim
healthy body
machine learning
site
healthy mind
cux
world problem
guinier camera
real world
powder ray diffraction
ben brahim
ray diffraction
mayo college
gneshu tiwari
traffic safety
real world problem
traffic safety policy
bin fahd
variety
powder ray
vertical guinier
virtual mode
physiological psychological
safety policy
nikitasm sgouros
prince mohammad bin fahd univ
psychological strain
conference proceeding
mohammad bin
conference
british
brazil prof nikitasm sgouros
fahd univ
volume
international symposium
transportation planning
physiological psychological strain
noise annoyance
sincere thank
aeronet reference
flocculating material
engineering course
mean sea level
harish vishwakarma
corncob biochar
singh
turbulent drag
sanjay dhande
joint agreement
level
advanced turbulent
consistency check
kanpur
present paper
dean
housing mplnet
drag reducing
aeronet team
sea level
food engineering
food engineering course
mean sea
advanced turbulent drag reducing
rna virus
functionalize chitosan
multitude
sustainable biomass triacylglyceride tag production
chitosan gold
alternative treatment
envelop positive sense single strand rna virus
respiratory syndrome
coronavirus disease
sustainable biomass
viable alternative
severe acute
equipment mumbai
gold nanoparticle
tyrosol functionalize chitosan gold nanoparticle
toxicity
schematic representation
syndrome coronavirus
institute instrument
quarter
single strand
critical input
envelop positive
sense single
threat
strand rna
biomass triacylglyceride
htl reactor
century
severe acute respiratory syndrome coronavirus
typical htl reactor
instrumentation facility
acute respiratory
triacylglyceride tag
tyrosol functionalize
tag production
institute instrument center
instrument facility
instrument center
positive sense
prasad
typical htl
treatment strategy
financial assistantship
mittal
fungal infection
halotolerant characteristic
alternative treatment strategy
sww
increase prevalence
