proposal,skill_categories
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,"['B.4.1', 'C.2.6', 'D.2.1', 'D.2.2', 'D.2.7', 'D.3.4', 'D.4.6', 'F.2.1', 'F.4.2', 'G.1.10', 'G.1.7', 'G.2.1', 'G.2.3', 'H.2.2', 'I.1.4', 'I.2.6', 'I.3.5', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'J.1', 'J.5', 'K.6.5']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,"['D.2.1', 'F.2.1', 'G.1.10', 'G.2.3', 'H.2.2', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.1', 'K.1']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,"['B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'C.0', 'C.1.3', 'D.2.1', 'D.2.2', 'E.3', 'E.5', 'F.1.1', 'F.4.2', 'G.1.10', 'G.2.3', 'H.3.7', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'J.5', 'K.7.4']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,"['B.4.1', 'B.5.1', 'C.5.3', 'D', 'D.2.10', 'D.3.4', 'E.5', 'F.3.3', 'F.4.2', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.1', 'J.5', 'K.3.2']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,"['B.4.1', 'C.0', 'D.2.1', 'D.2.9', 'D.3.3', 'D.3.4', 'D.4.4', 'F.1.1', 'F.4.2', 'G.1.10', 'G.1.3', 'G.2.3', 'H.2.3', 'H.3.4', 'H.3.7', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'I.7.1', 'J.2', 'J.5']"
v0_006_call_for_proposals_under_india_republic_of_korea_joint_programme_of_cooperation,"['D.2.7', 'D.3.3', 'G.1.10', 'G.2.1', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.3', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5']"
v0_007_india___korea_joint_network_centre___call_for_proposals___last_date___august_16_2017,"['B.4.1', 'C.2.0', 'C.2.1', 'D.2.1', 'D.2.7', 'D.3.4', 'F.3.3', 'F.4.2', 'G.1.3', 'G.1.6', 'G.2.1', 'H.5.2', 'I.2.3', 'I.2.6', 'I.4.8', 'J.5']"
v0_008_bhaskara_advanced_solar_energy_base_fellowship__2017,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.3.0', 'B.4.0', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.2.0', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.3.0', 'D.4.0', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'G.0', 'G.1.0', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.4.0', 'H.5.0', 'I.0', 'I.1.0', 'I.2.0', 'I.3.0', 'I.4.0', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'K.0', 'K.3.0', 'K.4.0', 'K.5.0', 'K.6.0', 'K.7.0', 'K.8.0']"
v0_009_building_energy_efficiency_higher_and_advanced_network_bhavan_fellowships__2017,"['B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'H.3.4']"
v0_010_dst___rcn_norway_joint_call_on_ict_2017,"['D.2.1', 'E.5', 'G.1.7', 'H.2.2', 'H.3.7', 'H.5.2', 'I.2.6', 'I.4.8', 'I.6.7', 'J.5', 'K.1']"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,"['B.4.1', 'D.3.1', 'D.3.3', 'D.3.4', 'F.1.1', 'G.1.10', 'G.1.3', 'G.1.6', 'G.2.3', 'H.3.7', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'K.1']"
v0_012_national_award_for_women_development_through_application_of_science__technology,"['B.5.1', 'D.2.10', 'D.4.6', 'F.4.2', 'G.1.10', 'G.1.3', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.7', 'K.6.5']"
