nsf_proposal_links_v0,skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,"['application', 'area', 'artificial intelligence', 'computer science', 'department', 'design', 'development', 'field', 'form', 'major', 'process', 'software', 'study', 'work']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,"['application', 'area', 'aspect', 'department', 'development', 'efficiency', 'impact', 'india', 'input', 'institute', 'land', 'material', 'process', 'product', 'resource', 'system', 'year']"
v0_006_call_for_proposals_under_india_republic_of_korea_joint_programme_of_cooperation,"['application', 'area', 'country', 'department', 'foundation', 'future', 'india', 'potential', 'procedure']"
v0_007_india___korea_joint_network_centre___call_for_proposals___last_date___august_16_2017,"['area', 'centre', 'country', 'department', 'future', 'india', 'interaction', 'material', 'objective', 'opportunity', 'outcome', 'paper', 'potential', 'process', 'student', 'year']"
v0_008_bhaskara_advanced_solar_energy_base_fellowship__2017,['general']
v0_009_building_energy_efficiency_higher_and_advanced_network_bhavan_fellowships__2017,"['building', 'efficiency']"
v0_010_dst___rcn_norway_joint_call_on_ict_2017,"['area', 'department', 'environment', 'field', 'india', 'objective', 'ongoing', 'result', 'support', 'system', 'year']"
v0_011_call___india_japan_cooperative_science_programme_ijcsp,"['application', 'area', 'department', 'fundamental', 'global warming', 'india', 'material', 'polymer', 'process', 'resource', 'support', 'synthesis', 'system']"
v0_012_national_award_for_women_development_through_application_of_science__technology,"['application', 'condition', 'department', 'design', 'development', 'india', 'level', 'purpose', 'woman', 'year']"
v0_013_national_awards_for_science__technology_communication_2017,['general']
v0_014_dst___ukieri_call_for_research_proposals_2017__18,"['advance', 'application', 'authority', 'conference', 'india', 'purpose', 'reason']"
v0_015_request_for_proposals_india_italy_industrial_rd,"['application', 'department', 'development', 'financial support', 'india', 'industrial development', 'process', 'result', 'support']"
v0_016_call_for_proposals_2017___indo_hungarian_joint_research,"['application', 'area', 'country', 'department', 'development', 'expert', 'india', 'priority', 'support']"
v0_017_indo_norway_joint_call_on_bio_economy,"['application', 'area', 'conference', 'department', 'field', 'india', 'land', 'ongoing', 'result', 'year']"
v0_018_joint_call_between_india_and_austria_for_exchange_visits,"['area', 'department', 'education institution', 'family', 'india', 'opportunity', 'student']"
v0_019_dst_dfg_awards_for_participation_in_the_68th_meeting_of_nobel_laureates__students_lindau_germany,"['application', 'area', 'aspect', 'department', 'field', 'foundation', 'importance', 'institute', 'level', 'major', 'student', 'world', 'year', 'young researcher']"
v0_020_advertisement_for_call_for_proposal_for_dst_nrdms_summerwinter_schools_in_geospatial_st___2017___2019,"['building', 'capacity building', 'challenge', 'decade', 'department', 'development', 'efficiency', 'india', 'level', 'need', 'ongoing', 'process', 'resource', 'support', 'system']"
v0_021_call_for_proposals_in_basic_sciences_with_russia_russian_foundation_for_basic_research,"['application', 'area', 'computer science', 'country', 'department', 'form', 'foundation', 'fundamental', 'india', 'institute', 'support', 'year']"
v0_022_funding_opportunity_announcement_foa_smart_grids,"['building', 'challenge', 'city', 'condition', 'demand', 'design', 'development', 'field', 'future', 'immense', 'india', 'large amount', 'limitation', 'objective', 'opportunity', 'purpose', 'renewable source', 'support', 'system', 'use']"
v0_023_multi_institutional_centres_on_materials_for_energy_conservation_and_storage_platform_mecsp___2017,"['application', 'area', 'centre', 'concept', 'department', 'development', 'efficiency', 'india', 'material', 'potential', 'product', 'purpose', 'resource', 'support', 'system', 'use', 'work', 'year']"
v0_024_interdisciplinary_cyber_physical_systems_icps_division_detailed_call_for_proposals_cfp_on_quantum_information_science_and_technology_qust_programme,"['area', 'century', 'computer science', 'department', 'development', 'future', 'huge', 'impact', 'india', 'information system', 'information technology', 'magnetic resonance', 'objective', 'system', 'theory']"
v0_025_dst_daad_joint_call_2017_recommended_projects,"['applied science', 'architecture', 'assistant professor', 'centre', 'civil engineering', 'form', 'india', 'india prof', 'institute', 'lab', 'professor', 'rural']"
