researcher,skill_categories
Arindam Biswas,"['B.3.2', 'B.5.1', 'C.0', 'C.1.3', 'C.3', 'D.2.7', 'D.2.8', 'D.3.4', 'F.3.3', 'F.4.2', 'G.1.1', 'G.1.3', 'G.1.6', 'G.1.7', 'H.2.2', 'H.5.2', 'I.2.6', 'I.2.9', 'I.4.8', 'I.5.1', 'J.2', 'J.5', 'J.7', 'K.3.2', 'K.3.m']"
Avlokita Agrawal,"['B.4.2', 'B.4.5', 'B.5.3', 'B.6.2', 'B.7.2', 'B.7.3', 'C.1.3', 'C.2.0', 'C.2.1', 'C.2.5', 'D.2.5', 'D.2.9', 'D.3.3', 'D.3.4', 'D.4.6', 'D.4.8', 'F.3.3', 'F.4.2', 'G.1.6', 'H.2.1', 'H.5.2', 'H.5.4', 'I.2.6', 'I.5.1', 'J.1', 'J.3', 'J.5', 'K.2', 'K.6.5']"
Gaurav Raheja,"['B.1.2', 'B.2.3', 'B.3.2', 'B.3.4', 'B.4.5', 'B.5.2', 'B.6.3', 'B.7.2', 'C.1.2', 'C.2.5', 'C.4', 'D.2.1', 'D.2.7', 'D.3.3', 'D.3.4', 'D.4.1', 'E.3', 'F.2.1', 'F.4.2', 'G.1.2', 'G.1.4', 'G.1.7', 'H.2.2', 'H.5.1', 'I.2.6', 'I.4.2', 'I.4.3', 'I.4.8', 'I.6.7', 'I.6.8', 'J.1', 'J.5', 'J.7', 'K.4.2', 'K.5.1', 'K.7.4']"
Harshit Sosan Lakra,"['B', 'D.2.7', 'F.2.2', 'H.5.2', 'K.4.2']"
Mahua Mukherjee,"['B.1.2', 'B.4.5', 'B.5.2', 'B.5.3', 'B.6.2', 'B.6.3', 'B.7', 'B.7.2', 'B.7.3', 'C.1.2', 'C.2.0', 'D.2.1', 'D.2.11', 'D.2.7', 'D.3.3', 'D.3.4', 'D.4.6', 'D.4.9', 'E.3', 'F.3.2', 'F.3.3', 'F.4.2', 'G.1.10', 'G.1.2', 'G.1.6', 'G.2.3', 'H', 'H.2.1', 'H.3.7', 'H.5.1', 'H.5.2', 'I.1.3', 'I.1.4', 'I.2.10', 'I.2.6', 'I.3.7', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.6.3', 'J.1', 'J.2', 'J.5', 'K.6.5']"
Prabhjot Singh Chani,"['B.1.3', 'B.2.3', 'B.3.2', 'B.3.4', 'B.4.3', 'B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'C.0', 'C.2.0', 'C.2.5', 'D.2.5', 'D.2.7', 'D.2.9', 'D.3.4', 'D.4.5', 'D.4.7', 'D.4.9', 'F.1.1', 'F.4.2', 'G.1.0', 'G.1.2', 'G.1.5', 'G.1.7', 'G.2.2', 'H.3.1', 'H.4.1', 'I.2.1', 'I.3.7', 'I.4.3', 'I.4.8', 'I.6.1', 'J.1', 'J.3', 'J.5', 'K.3.2', 'K.4.1', 'K.4.2', 'K.5.1']"
E Rajasekar,"['A.2', 'B.1.2', 'B.4.5', 'B.5.2', 'B.5.3', 'B.6.2', 'B.6.3', 'B.7.2', 'B.7.3', 'C.0', 'C.1.2', 'C.2.1', 'C.2.4', 'C.5.5', 'D', 'D.2.11', 'D.3.4', 'E.2', 'F.4.2', 'G.1.2', 'G.1.7', 'H.2.2', 'H.3.1', 'H.5.1', 'H.5.2', 'I.2.1', 'I.2.10', 'I.2.6', 'I.3.5', 'I.5.5', 'J.1', 'J.2', 'J.3', 'J.5']"
Ram Sateesh Pasupuleti,"['B.3', 'B.3.2', 'B.4.3', 'C.0', 'C.2.1', 'C.2.5', 'D.2.7', 'D.4.1', 'D.4.2', 'D.4.6', 'F.1.1', 'F.2.1', 'F.3.1', 'G.1.7', 'G.2.2', 'G.3', 'H.2.1', 'H.2.4', 'H.3.3', 'H.3.4', 'H.3.7', 'H.5.1', 'H.5.2', 'I.2.3', 'I.3.7', 'I.4.10', 'I.4.4', 'I.5.1', 'J.1', 'J.5', 'K.2', 'K.6.1', 'K.6.4', 'K.6.5', 'K.7.2', 'K.7.4', 'K.8.1']"
Saptarshi Kolay,"['A.0', 'B.5.1', 'C.1.2', 'C.1.3', 'C.2.5', 'D.2.10', 'D.2.11', 'D.2.7', 'D.2.9', 'D.3.4', 'D.4.4', 'D.4.6', 'F.3.3', 'F.4.1', 'F.4.2', 'H.2.8', 'H.3.6', 'H.3.7', 'H.5.2', 'H.5.4', 'I.2.1', 'I.2.3', 'I.2.4', 'I.2.6', 'I.3.5', 'I.4.4', 'J.1', 'J.3', 'J.5', 'K.1', 'K.4.4', 'K.6.5', 'K.7.4', 'K.8.1']"
Shubhajit Sadhukhan,"['B.4.1', 'B.4.3', 'B.6.1', 'C.1.2', 'C.2.3', 'C.2.5', 'C.2.6', 'D.2.2', 'D.2.8', 'D.3.4', 'E.3', 'F.1.1', 'F.2.1', 'G.1.5', 'G.2.1', 'G.3', 'H.5.1', 'H.5.2', 'I.2.10', 'I.2.3', 'I.2.6', 'I.5.5', 'J.3', 'J.4', 'J.7', 'K.1', 'K.4.1', 'K.6.0', 'K.6.4', 'K.8.1']"
