nsf_proposal_links_v0,researcher_name,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Sanjoy Ghosh', 'Pravindra Kumar', 'Smriti Saraswat', 'Shubhajit Sadhukhan']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Sachin Suresh Tiwari', 'Smriti Saraswat', 'Sanjoy Ghosh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Ram Sateesh Pasupuleti', 'N K Navani', 'Millie Pant']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Mahua Mukherjee', 'Tina Pujara']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Bijan Choudhury', 'Harsh Chauhan', 'Tina Pujara']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Debabrata Sircar', 'Avlokita Agrawal', 'Poonam Choudhary']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Avlokita Agrawal', 'Pravindra Kumar', 'Rajesh Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Ranjana Pathania', 'N K Navani', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Shailly Tomar', 'Ramasare Prasad']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'P Gopinath', 'Prabhjot Singh Chani']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Sanjoy Ghosh', 'N K Navani', 'Prince Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'E Rajasekar', 'Jitin Singla', 'Ranjana Pathania', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'V Devadas', 'Prince Tiwari', 'Saugata Hazra', 'Akhil Upadhyay']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Uttam Kumar Roy', 'Ramasare Prasad', 'Sachin Suresh Tiwari', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Arindam Biswas', 'Shubhajit Sadhukhan', 'V Devadas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Debabrata Sircar', 'Arindam Biswas', 'Harshit Sosan Lakra', 'Akhil Upadhyay']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Gaurav Raheja', 'V Devadas', 'Ram Sateesh Pasupuleti']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Ashwani Kumar Sharma', 'E Rajasekar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Gaurav Raheja', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'R. P. Singh', 'Deepak Sharma', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Debabrata Sircar', 'Shailly Tomar', 'Maya S.Nair', 'Ramasare Prasad']"
