nsf_proposal_links_v0,researcher,pseudo_skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['application', 'area', 'challenge', 'country', 'department', 'importance', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saptarshi Kolay,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shubhajit Sadhukhan,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jaydev Dabas,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Millie Pant,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajan Arora,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ashwani Kumar Sharma,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Bijan Choudhury,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']"
