nsf_proposal_links_v0,researcher,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'Ranjana Pathania', 'Rajesh Kumar', 'Pranita P Sarangi', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saptarshi Kolay,"['Saptarshi Kolay', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shubhajit Sadhukhan,"['Shubhajit Sadhukhan', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['Tina Pujara', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['Uttam Kumar Roy', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['V Devadas', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jaydev Dabas,"['Jaydev Dabas', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Millie Pant,"['Millie Pant', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajan Arora,"['Rajan Arora', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ashwani Kumar Sharma,"['Ashwani Kumar Sharma', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Bijan Choudhury,"['Bijan Choudhury', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Debabrata Sircar,"['Debabrata Sircar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
