proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Arindam Biswas,"[['Arindam Biswas', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Avlokita Agrawal,"[['Avlokita Agrawal', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Gaurav Raheja,"[['Gaurav Raheja', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Harshit Sosan Lakra,"[['Harshit Sosan Lakra', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Mahua Mukherjee,"[['Mahua Mukherjee', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Prabhjot Singh Chani,"[['Prabhjot Singh Chani', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",E Rajasekar,"[['E Rajasekar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Ram Sateesh Pasupuleti,"[['Ram Sateesh Pasupuleti', 'Ranjana Pathania', 'Rajesh Kumar', 'Pranita P Sarangi', 'Krishna Mohan Poluri']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Saptarshi Kolay,"[['Saptarshi Kolay', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Shubhajit Sadhukhan,"[['Shubhajit Sadhukhan', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
