,nsf_proposal_links_v1,skills
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"{'engineering', 'economic development', 'professional development', 'industry', 'material', 'development', 'science engineering', 'higher education'}"
1,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"{'chemical', 'engineering', 'environmental engineering', 'science engineering'}"
2,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"{'theoretical foundation', 'computer science'}"
3,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"{'learning', 'machine learning', 'industry', 'artificial intelligence', 'continued advancement', 'development', 'ai', 'security', 'economic impact'}"
4,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"{'engineering', 'science engineering', 'information science', 'communication', 'computer information', 'project develop'}"
5,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,"{'control', 'national science', 'united state', 'biomaterials', 'engineering', 'science foundation', 'discovery', 'industry', 'physic', 'material', 'development', 'polymer', 'synthesis characterization', 'novel design', 'material unique', 'processing', 'property', 'synthesis', 'fundamental understanding', 'lead new', 'design synthesis'}"
6,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,"{'control', 'electronic photonic', 'united state', 'chemistry', 'engineering', 'discovery', 'industry', 'material', 'development', 'synthesis characterization', 'solid state', 'novel design', 'material unique', 'processing', 'property', 'synthesis', 'fundamental understanding', 'lead new', 'design synthesis'}"
7,https://www.nsf.gov/pubs/2020/nsf20586/nsf20586.htm,"{'chemical', 'chemistry'}"
8,https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm,"{'national science', 'engineering', 'science foundation', 'computer information', 'industry', 'experience new', 'directorate engineering', 'science technology', 'material', 'information science', 'revolve around', 'science engineering', 'area', 'computer science'}"
9,https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,"{'biomaterials', 'material state', 'chemistry', 'physic', 'development', 'solid state', 'property', 'fundamental understanding', 'area', 'soft matter', 'material system', 'machine learning', 'statistical mechanic', 'science foundation', 'polymer', 'learning', 'electronic photonic', 'polymeric material', 'molecular dynamic', 'method used', 'soft material', 'national science', 'broad spectrum', 'material soft', 'material', 'dynamic', 'modeling'}"
10,https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm,"{'chemical', 'imaging', 'chemistry', 'computational method', 'catalysis', 'dynamic', 'synthesis'}"
11,https://www.nsf.gov/pubs/2020/nsf20575/nsf20575.htm,"{'national science', 'statistic', 'national institute', 'biomedical', 'science foundation', 'health', 'biomedical science', 'support interface'}"
12,https://www.nsf.gov/pubs/2020/nsf20574/nsf20574.htm,"{'chemical', 'communication'}"
13,https://www.nsf.gov/pubs/2020/nsf20566/nsf20566.htm,"{'learning', 'machine learning', 'decision support', 'health', 'artificial intelligence', 'ai system', 'ha long', 'algorithm', 'ai', 'support system', 'security'}"
14,https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm,{'synthesis'}
15,https://www.nsf.gov/pubs/2020/nsf20563/nsf20563.htm,"{'learning', 'civil', 'range application', 'machine learning', 'automation', 'artificial intelligence', 'personalized medicine', 'security', 'energy'}"
16,https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm,"{'chemical', 'experimental theoretical', 'engineering', 'including limited', 'energy transport', 'modeling', 'synthesis', 'science engineering', 'biological process', 'energy'}"
17,https://www.nsf.gov/pubs/2020/nsf20557/nsf20557.htm,"{'thing iot', 'system application', 'application including', 'communication', 'internet thing', 'high speed', 'wireless communication'}"
18,https://www.nsf.gov/pubs/2020/nsf20553/nsf20553.htm,"{'engineering', 'including engineering', 'development'}"
19,https://www.nsf.gov/pubs/2020/nsf20552/nsf20552.htm,"{'chemical', 'production', 'business', 'logistics', 'machine design', 'material'}"
