,nsf_proposal_links_v1,title,synopsis
156,https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,Condensed Matter and Materials Theory (CMMT) (nsf20582) | NSF - National Science Foundation,"CMMT supports theoretical and computational materials research in the topical areas represented in DMR's Topical Materials Research Programs (these are also variously known as Individual Investigator Award (IIA) Programs, or Core Programs, or Disciplinary Programs), which include: Condensed Matter Physics (CMP), Biomaterials (BMAT), Ceramics (CER), Electronic and Photonic Materials (EPM), Metals and Metallic Nanostructures (MMN), Polymers (POL), and Solid State and Materials Chemistry (SSMC). The CMMT program supports fundamental research that advances conceptual understanding of hard and soft materials, and materials-related phenomena; the development of associated analytical, computational, and data-centric techniques; and predictive materials-specific theory, simulation, and modeling for materials research. First-principles electronic structure, quantum many-body and field theories, statistical mechanics, classical and quantum Monte Carlo, and molecular dynamics, are among the methods used in the broad spectrum of research supported in CMMT. Research may encompass the advance of new paradigms in materials research, including emerging data-centric approaches utilizing data-analytics or machine learning. Computational efforts span from the level of workstations to advanced and high-performance scientific computing. Emphasis is on approaches that begin at the smallest appropriate length scale, such as electronic, atomic, molecular, nano-, micro-, and mesoscale, required to yield fundamental insight into material properties, processes, and behavior, to predict new materials and states of matter, and to reveal new materials phenomena. Approaches that span multiple scales of length and time may be required to advance fundamental understanding of materials properties and phenomena, particularly for polymeric materials and soft matter. Areas of recent interest include, but are not limited to: strongly correlated electron systems; active matter; topological phases; low-dimensional materials and systems; quantum and classical non-equilibrium phenomena, the latter including pattern formation, materials growth, micro-structure evolution, fracture, and the jamming transition; gels; glasses; disordered materials, hard and soft; defects; high-temperature superconductivity; nanostructured materials and mesoscale phenomena; creation and manipulation of coherent quantum states; polymeric materials and soft condensed matter, biologically inspired materials, and research at the interface with biology."
281,https://www.nsf.gov/pubs/2020/nsf20552/nsf20552.htm,Future Manufacturing,"As stated in the Strategy for American Leadership in Advanced Manufacturing, worldwide competition in manufacturing has been dominated in recent decades by the maturation, commoditization, and widespread application of computation in production equipment and logistics, effectively leveling the global technological playing field and putting a premium on low wages and incremental technical improvements.[1] The next generation of technological competition in manufacturing will be dictated by inventions of new materials, chemicals, devices, systems, processes, machines, design and work methods, social structures and business practices."
110,https://www.nsf.gov/pubs/2020/nsf20541/nsf20541.htm,Reproducible Cells and Organoids via Directed-Differentiation Encoding,"The National Science Foundation (NSF) Division of Chemical, Bioengineering, Environmental and Transport Systems (CBET), seeks proposals that elucidate mechanisms of, and develop strategies to, direct the differentiation of undifferentiated cells into mature, functional cells or organoids. Projects responsive to this solicitation must aim to establish a robust and reproducible set of differentiation design rules, predictive models, real-time sensing, control, and quality assurance methods, and integrate them into a workable differentiation strategy. They must develop a fundamental understanding of how cells develop, including mechanisms, molecular machinery, dynamics, and cell-cell interactions, and use this understanding to manipulate cells purposefully. Investigators can choose any undifferentiated cell type, from any animal species, as a starting point and choose any appropriate functional product (cell, organoid, etc.) with real-world relevance. This solicitation parallels NSF’s investment in Understanding the Rules of Life (URoL): Predicting Phenotype, NSF’s Big Idea focused on predicting the set of observable characteristics (phenotype) of an organism based on its genetic makeup and the nature of its environment and applies it to understanding and accomplishing the intentional and guided differentiation of an undifferentiated cell into cells, organoids or tissues with predetermined activities and functions."
263,https://www.nsf.gov/pubs/2020/nsf20517/nsf20517.htm,"Environmental Convergence Opportunities in Chemical, Bioengineering, Environmental, and Transport Systems","Creating solutions to pressing environmental and sustainability challenges will require input and imaginative approaches from various fields, perspectives, and disciplines. The National Academies of Sciences, Engineering and Medicine (NASEM), in their report ""Environmental Engineering for the 21st Century: Addressing Grand Challenges,"" identified five critical challenges we must address as a society:"
155,https://www.nsf.gov/pubs/2020/nsf20510/nsf20510.htm,NSF Engineering - UKRI Engineering and Physical Sciences Research Council Lead Agency Opportunity,"The Directorate for Engineering (ENG), Division of Chemical, Bioengineering, Environmental, and Transport Systems (CBET), the Division of Civil, Mechanical and Manufacturing Innovation (CMMI), and the Division of Electrical, Communications and Cyber Systems (ECCS) of the National Science Foundation and the Engineering, ICT and Manufacturing the Future Themes of the UK Engineering and Physical Sciences Research Council (EPSRC) are pleased to announce the ENG-EPSRC Lead Agency Opportunity. The goal of this opportunity is to reduce some of the barriers that researchers currently encounter when working internationally. The ENG-EPSRC Lead Agency Opportunity will allow US and UK researchers to submit a single collaborative proposal that will undergo a single review process."
397,https://www.nsf.gov/pubs/2020/nsf20503/nsf20503.htm,National Artificial Intelligence (AI) Research Institutes,"Artificial Intelligence (AI) has advanced tremendously and today promises personalized healthcare; enhanced national security; improved transportation; and more effective education, to name just a few benefits. Increased computing power, the availability of large datasets and streaming data, and algorithmic advances in machine learning (ML) have made it possible for AI development to create new sectors of the economy and revitalize industries. Continued advancement, enabled by sustained federal investment and channeled toward issues of national importance, holds the potential for further economic impact and quality-of-life improvements."
100,https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm,NSF/CASIS Collaboration on Transport Phenomena Research on the International Space Station (ISS) to Benefit Life on Earth,"The Division of Chemical, Bioengineering and Environmental Transport (CBET) in the Engineering Directorate of the National Science Foundation (NSF) is partnering with The Center for the Advancement of Science in Space (CASIS) to solicit research projects in the general field of fluid dynamics, particulate and multiphase processes, combustion and fire systems, thermal transport processes, and nanoscale interactions that can utilize the International Space Station (ISS) National Lab to conduct research that will benefit life on Earth. Only U.S. entities including academic investigators, non-profit independent research laboratories and academic-commercial teams are eligible to apply."
411,https://www.nsf.gov/pubs/2019/nsf19599/nsf19599.htm,EMERGING FRONTIERS IN RESEARCH AND INNOVATION,"The Emerging Frontiers in Research and Innovation (EFRI) program of the NSF Directorate for Engineering (ENG) serves a critical role in helping ENG focus on important emerging areas in a timely manner. This solicitation is a funding opportunity for interdisciplinary teams of researchers to embark on rapidly advancing frontiers of fundamental engineering research. For this solicitation, we will consider proposals that aim to investigate emerging frontiers in one of the following two research areas:"
22,https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm,Division of,"This solicitation applies to nine CHE Disciplinary Chemistry Research Programs: Chemical Catalysis (CAT); Chemical Measurement and Imaging (CMI); Chemical Structure, Dynamics and Mechanisms-A (CSDM-A); Chemical Structure Dynamics and Mechanisms-B (CSDM-B); Chemical Synthesis (SYN); Chemical Theory, Models and Computational Methods (CTMC); Chemistry of Life Processes (CLP); Environmental Chemical Sciences (ECS); and Macromolecular, Supramolecular and Nanochemistry (MSN)."
182,https://www.nsf.gov/pubs/2019/nsf19572/nsf19572.htm,Secure and Trustworthy Cyberspace Frontiers,"In today’s increasingly networked, distributed, and asynchronous world, cybersecurity involves hardware, software, networks, data, people, and integration with the physical world. Society’s overwhelming reliance on this complex cyberspace, however, has exposed its fragility and vulnerabilities that defy existing cyber-defense measures; corporations, agencies, national infrastructure and individuals continue to suffer cyber-attacks. Achieving a truly secure cyberspace requires addressing both challenging scientific and engineering problems involving many components of a system, and vulnerabilities that stem from human behaviors and choices. Examining the fundamentals of security and privacy as a multidisciplinary subject can lead to fundamentally new ways to design, build and operate cyber systems, protect existing infrastructure, and motivate and educate individuals about cybersecurity."
