,names,descriptions,titles,research
1,"Ahmad, Iftikhar",Assistant Professor,Faculty,"['Previous position Senior Scientist , Sensor Electronic Technology , Inc . Ph . D . Texas Tech UniversityResearch interests growth and study of ultra wide bandgap semiconductors including high aluminum content AlGaN , boron nitride and gallium oxide , fabrication of novel high power electronic and photonic devices , and computer simulation of these devices']"
6,"Banerjee, Sourav ","Associate Professor, Mechanical Engineering",Faculty,"['Wave Propagation, Ultrasonics, Acoustics, Metamaterials, Biomedical']"
7,"Bayat, Mahmoud",Research Associate Professor,Faculty,"['Structural Health Monitoring, Probabilistic Analysis, Nonlinear Vibrations, Machine Learning, Earthquake Eng']"
8,"Bayoumi, Abdel-Moez E. ","Professor Mechanical Engineering, Biomedical Engineering ",Faculty,"['300 Main StreetRoom A223Columbia , SC 29208Dr . Bayoumi has about 40 years teaching , research and industry experience . He is currently the Director of the McNair Aerospace Center , Director of the Center for Predictive Maintenance , Associate Dean for Corporate Relations and Professor of Mechanical and Biomedical Engineering . Prior to joining USC , he was Professor of Mechanical and Aerospace Engineering at North Carolina State University , a project manager at Hewlett Packard Company , and Professor of Mechanical and Materials Engineering at Washington State University . He has been actively involved in developing strong programs in mechanical , biomedical , nuclear and aerospace engineering . His research activities have been focused in mechanical behavior of materials , tribology , diagnosis and prognosis and life predictions of mechanical systems , manufacturing processes , health monitoring systems , condition based maintenance , and digital transformation . Dr . Bayoumi has received more than 35M in funding from the US Department of Defense , US Department of Energy , US National Science Foundation and various US industries . He has published over 150 journal and conference papers']"
22,"Chandrashekhar, MVS","Associate Professor, Electrical Engineering",Faculty,"['Graphene, Chemistry, Plasmonics, SiC, Epitaxy']"
23,"Chao, Yuh J. ","Distinguished Professor Emeritus, Mechanical Engineering",Faculty,"['Dr . Chao s research and interests include theoretical and experimental studies on failure , fracture and fatigue of materials and structures , welding modeling for residual stress and distortion , impact mechanics for material characterization and failure criterion , biomechanics and nanomechanics , and the durability of PEM fuel cell systems . Cao , Yupeng Qian , Guian He , Yinbiao Niffenegger , Markus Chao , Yuh J , Constraint Assessment for Specimens Tested Under Uniaxial and Biaxial Loading Conditions , ASME Journal of Pressure Vessel Technology , 031401 7 , Vol . 140 , June 2018 . Wang Bo , Zhu Shiyang , Hao Peng , Bi Xiangju , DuKaifan , Chen Bingquan , Ma Xiangtao , Chao Yuh J . , Buckling of quasi perfect cylindrical shell under axial compression A combined experimental and numerical investigation , International Journal of Solids and Structures , 130 131 2018 232 247 .']"
24,"Chaudhry, Hanif",Mr. and Mrs. Irwin B. Kahn Professor,Faculty,"['Hydraulic Engineering, Water Resources Engineering, Hydraulic Transients']"
26,"Chen, Yinchao","Associate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A34301 Main StreetColumbia , SC 29208']"
28,"Cheng, Xu","Adjunct Professor, Mechanical Engineering",Faculty,"['Prof . Cheng has over 25 years research experience and about 10 years teaching experience . Currently he is professor at Karlsruhe Institute of Technology KIT in Germany and at Shanghai Jiao Tong University SJTU in China , and Director of the Division of Innovative Nuclear Systems at KIT . He has supervised or is supervising more than 20 PhD students in both KIT and SJTU and gives 4 lectures for both undergraduate and Master students . He has published over 100 papers . His main research fields are nuclear thermal hydraulics and nuclear safety .']"
35,"Devereux, Emily",Director of Proposal Development,Staff,"['Senior research administrator with over 18 years of research administration in community and economic development , with the past 13 years in university research administration leadership . Experience has concentrated in strategic research growth , strategic planning , research development , student research growth , and research administration . My research is focused on national university rankings and perceived biases in funding review processes based on administrative capacity and reputation . The goal of this research is to identify what contributes to perceived biases during federal and foundation agency reviews and what enables an institution to signal competitiveness to funding sponsors based on the Principal agent and resource dependency theories .']"
