proposal_id,year,proposal_link,title,skills,researcher_name,team,goodness
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Agostinelli, Forest","[['Agostinelli, Forest', 'Ahmad, Iftikhar', 'Ali, Mohammod']]",[0.075]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Ahmad, Iftikhar","[['Ahmad, Iftikhar', 'Ali, Mohammod']]",[0.05]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Alexeev, Oleg S.","[['Alexeev, Oleg S.', 'Ali, Mohammod']]",[0.0688]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education (2021),"['advanced', 'technological', 'education', 'advanced technological', 'technological education', 'focus', 'two-year', 'institutions', 'higher', 'ihes', 'focus two-year', 'two-year institutions', 'institutions higher', 'higher education', 'education ihes', 'ate', 'supports', 'technicians', 'high-technology', 'fields', 'drive', 'our', 'nation', 'economy', 'involves', 'partnerships', 'between', 'academic', 'grades', 'education ate', 'ate supports', 'supports education', 'education technicians', 'technicians high-technology', 'high-technology fields', 'fields drive', 'drive our', 'our nation', 'nation economy', 'economy involves']","Ali, Mohammod","[['Ali, Mohammod', 'Ahmad, Iftikhar']]",[0.05]
nsf21527,2021,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Environmental Convergence Opportunities in Chemical, Bioengineering, Environmental, and Transport Systems (2021)","['environmental', 'convergence', 'opportunities', 'chemical', 'environmental convergence', 'convergence opportunities', 'opportunities chemical', 'bioengineering', 'transport', 'systems', 'transport systems', 'creating', 'effective', 'solutions', 'our', 'most', 'pressing', 'sustainability', 'challenges', 'requires', 'imaginative', 'thinking', 'kind', 'evolves', 'when', 'researchers', 'disparate', 'fields', 'creating effective', 'effective solutions', 'solutions our', 'our most', 'most pressing', 'pressing environmental', 'environmental sustainability', 'sustainability challenges', 'challenges requires', 'requires imaginative', 'imaginative thinking', 'thinking kind']","Agostinelli, Forest","[['Agostinelli, Forest', 'Alexeev, Oleg S.']]",[0.0594]
nsf21527,2021,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Environmental Convergence Opportunities in Chemical, Bioengineering, Environmental, and Transport Systems (2021)","['environmental', 'convergence', 'opportunities', 'chemical', 'environmental convergence', 'convergence opportunities', 'opportunities chemical', 'bioengineering', 'transport', 'systems', 'transport systems', 'creating', 'effective', 'solutions', 'our', 'most', 'pressing', 'sustainability', 'challenges', 'requires', 'imaginative', 'thinking', 'kind', 'evolves', 'when', 'researchers', 'disparate', 'fields', 'creating effective', 'effective solutions', 'solutions our', 'our most', 'most pressing', 'pressing environmental', 'environmental sustainability', 'sustainability challenges', 'challenges requires', 'requires imaginative', 'imaginative thinking', 'thinking kind']","Ahmad, Iftikhar","[['Ahmad, Iftikhar', 'Alexeev, Oleg S.']]",[0.0594]
nsf21527,2021,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Environmental Convergence Opportunities in Chemical, Bioengineering, Environmental, and Transport Systems (2021)","['environmental', 'convergence', 'opportunities', 'chemical', 'environmental convergence', 'convergence opportunities', 'opportunities chemical', 'bioengineering', 'transport', 'systems', 'transport systems', 'creating', 'effective', 'solutions', 'our', 'most', 'pressing', 'sustainability', 'challenges', 'requires', 'imaginative', 'thinking', 'kind', 'evolves', 'when', 'researchers', 'disparate', 'fields', 'creating effective', 'effective solutions', 'solutions our', 'our most', 'most pressing', 'pressing environmental', 'environmental sustainability', 'sustainability challenges', 'challenges requires', 'requires imaginative', 'imaginative thinking', 'thinking kind']","Alexeev, Oleg S.","[['Alexeev, Oleg S.', 'Agostinelli, Forest']]",[0.0594]
nsf21527,2021,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Environmental Convergence Opportunities in Chemical, Bioengineering, Environmental, and Transport Systems (2021)","['environmental', 'convergence', 'opportunities', 'chemical', 'environmental convergence', 'convergence opportunities', 'opportunities chemical', 'bioengineering', 'transport', 'systems', 'transport systems', 'creating', 'effective', 'solutions', 'our', 'most', 'pressing', 'sustainability', 'challenges', 'requires', 'imaginative', 'thinking', 'kind', 'evolves', 'when', 'researchers', 'disparate', 'fields', 'creating effective', 'effective solutions', 'solutions our', 'our most', 'most pressing', 'pressing environmental', 'environmental sustainability', 'sustainability challenges', 'challenges requires', 'requires imaginative', 'imaginative thinking', 'thinking kind']","Ali, Mohammod","[['Ali, Mohammod', 'Alexeev, Oleg S.']]",[0.0688]
nsf20609,2020,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,Collaborative Research in Computational Neuroscience (2020),"['collaborative', 'computational', 'neuroscience', 'collaborative computational', 'computational neuroscience', 'provides', 'theoretical', 'rich', 'set', 'technical', 'approaches', 'understanding', 'complex', 'neurobiological', 'systems', 'neuroscience provides', 'provides theoretical', 'theoretical rich', 'rich set', 'set technical', 'technical approaches', 'approaches understanding', 'understanding complex', 'complex neurobiological', 'neurobiological systems', 'building', 'theory', 'building theory', 'methods', 'findings', 'computer', 'findings computer', 'numerous', 'other', 'disciplines', 'numerous other', 'other disciplines']","Agostinelli, Forest","[['Agostinelli, Forest', 'Ali, Mohammod']]",[0.0601]
nsf20609,2020,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,Collaborative Research in Computational Neuroscience (2020),"['collaborative', 'computational', 'neuroscience', 'collaborative computational', 'computational neuroscience', 'provides', 'theoretical', 'rich', 'set', 'technical', 'approaches', 'understanding', 'complex', 'neurobiological', 'systems', 'neuroscience provides', 'provides theoretical', 'theoretical rich', 'rich set', 'set technical', 'technical approaches', 'approaches understanding', 'understanding complex', 'complex neurobiological', 'neurobiological systems', 'building', 'theory', 'building theory', 'methods', 'findings', 'computer', 'findings computer', 'numerous', 'other', 'disciplines', 'numerous other', 'other disciplines']","Ahmad, Iftikhar","[['Ahmad, Iftikhar', 'Agostinelli, Forest']]",[0.0601]
