proposal_id,year,proposal_link,title,skills,researcher_name,team,goodness
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Agostinelli, Forest","[['Agostinelli, Forest']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Ahmad, Iftikhar","[['Ahmad, Iftikhar']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Alexeev, Oleg S.","[['Alexeev, Oleg S.']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Ali, Mohammod","[['Ali, Mohammod']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Ammal, Salai C.","[['Ammal, Salai C.']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Bakos, Jason D. ","[['Bakos, Jason D. ']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Banerjee, Sourav ","[['Banerjee, Sourav ']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Bayat, Mahmoud","[['Bayat, Mahmoud']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Bayoumi, Abdel-Moez E. ","[['Bayoumi, Abdel-Moez E. ']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Benigni, Andrea","[['Benigni, Andrea']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Berge, Nicole D.","[['Berge, Nicole D.']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Besmann, Theodore  M.","[['Besmann, Theodore  M.']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Bischoff, Jeff ","[['Bischoff, Jeff ']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Blanchette, James  Otto","[['Blanchette, James  Otto']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Boltin, Nicholas D.","[['Boltin, Nicholas D.']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Booth, Kristen","[['Booth, Kristen']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Brookshire, Robert G., Ph.D.","[['Brookshire, Robert G., Ph.D.']]",[0.4]
nsf21598,2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,Advanced Technological Education,"{'development', 'material', 'industry', 'engineering'}","Broughton, Earnie","[['Broughton, Earnie']]",[0.4]
