,nsf_proposal_links_v1,skills
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"{'economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education'}"
1,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"{'engineering', 'science engineering', 'environmental engineering', 'chemical'}"
2,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"{'theoretical foundation', 'computer science'}"
3,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"{'artificial intelligence', 'security', 'economic impact', 'development', 'ai', 'machine learning', 'continued advancement', 'industry', 'learning'}"
4,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"{'science engineering', 'project develop', 'engineering', 'communication', 'computer information', 'information science'}"
5,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,"{'design synthesis', 'synthesis characterization', 'national science', 'polymer', 'engineering', 'processing', 'physic', 'control', 'development', 'united state', 'property', 'discovery', 'industry', 'novel design', 'synthesis', 'material unique', 'lead new', 'biomaterials', 'fundamental understanding', 'material', 'science foundation'}"
6,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,"{'design synthesis', 'synthesis characterization', 'electronic photonic', 'chemistry', 'engineering', 'processing', 'control', 'development', 'united state', 'property', 'discovery', 'industry', 'novel design', 'solid state', 'synthesis', 'material unique', 'lead new', 'fundamental understanding', 'material'}"
7,https://www.nsf.gov/pubs/2020/nsf20586/nsf20586.htm,"{'chemistry', 'chemical'}"
8,https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm,"{'national science', 'engineering', 'computer science', 'experience new', 'revolve around', 'area', 'science engineering', 'industry', 'computer information', 'science technology', 'material', 'information science', 'directorate engineering', 'science foundation'}"
9,https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,"{'material state', 'modeling', 'polymer', 'method used', 'statistical mechanic', 'material system', 'learning', 'science foundation', 'soft material', 'development', 'area', 'machine learning', 'material soft', 'solid state', 'biomaterials', 'material', 'national science', 'broad spectrum', 'fundamental understanding', 'soft matter', 'electronic photonic', 'molecular dynamic', 'chemistry', 'physic', 'property', 'dynamic', 'polymeric material'}"
10,https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm,"{'chemistry', 'imaging', 'computational method', 'dynamic', 'synthesis', 'chemical', 'catalysis'}"
11,https://www.nsf.gov/pubs/2020/nsf20575/nsf20575.htm,"{'national science', 'national institute', 'support interface', 'statistic', 'health', 'biomedical science', 'biomedical', 'science foundation'}"
12,https://www.nsf.gov/pubs/2020/nsf20574/nsf20574.htm,"{'communication', 'chemical'}"
13,https://www.nsf.gov/pubs/2020/nsf20566/nsf20566.htm,"{'artificial intelligence', 'ha long', 'security', 'algorithm', 'support system', 'ai', 'machine learning', 'ai system', 'health', 'decision support', 'learning'}"
14,https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm,{'synthesis'}
15,https://www.nsf.gov/pubs/2020/nsf20563/nsf20563.htm,"{'artificial intelligence', 'security', 'energy', 'machine learning', 'automation', 'civil', 'personalized medicine', 'range application', 'learning'}"
16,https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm,"{'energy transport', 'experimental theoretical', 'modeling', 'including limited', 'engineering', 'energy', 'science engineering', 'synthesis', 'biological process', 'chemical'}"
17,https://www.nsf.gov/pubs/2020/nsf20557/nsf20557.htm,"{'system application', 'application including', 'high speed', 'wireless communication', 'communication', 'internet thing', 'thing iot'}"
18,https://www.nsf.gov/pubs/2020/nsf20553/nsf20553.htm,"{'engineering', 'development', 'including engineering'}"
19,https://www.nsf.gov/pubs/2020/nsf20552/nsf20552.htm,"{'production', 'business', 'logistics', 'machine design', 'material', 'chemical'}"
20,https://www.nsf.gov/pubs/2020/nsf20544/nsf20544.htm,"{'science engineering', 'engineering', 'computer information', 'information science', 'national science', 'science foundation'}"
21,https://www.nsf.gov/pubs/2020/nsf20541/nsf20541.htm,"{'cell type', 'national science', 'cell cell', 'foundation nsf', 'control', 'dynamic', 'fundamental understanding', 'develop strategy', 'chemical', 'science foundation', 'product'}"
22,https://www.nsf.gov/pubs/2020/nsf20540/nsf20540.htm,"{'deep learning', 'artificial intelligence', 'national science', 'engineering', 'area', 'science engineering', 'graduate student', 'activity focused', 'computer information', 'new york', 'principal investigator', 'information science', 'learning', 'science foundation'}"
23,https://www.nsf.gov/pubs/2020/nsf20539/nsf20539.htm,"{'national science', 'computer science', 'foundation nsf', 'development', 'teaching', 'material', 'science foundation', 'professional development'}"
24,https://www.nsf.gov/pubs/2020/nsf20522/nsf20522.htm,"{'united state', 'development', 'robotics'}"
25,https://www.nsf.gov/pubs/2020/nsf20517/nsf20517.htm,"{'science engineering', 'environmental engineering', 'engineering', 'chemical'}"
26,https://www.nsf.gov/pubs/2020/nsf20514/nsf20514.htm,"{'program director', 'national science', 'engineering', 'foundation nsf', 'area', 'science engineering', 'area future', 'science foundation'}"
27,https://www.nsf.gov/pubs/2020/nsf20513/nsf20513.htm,"{'program director', 'national science', 'engineering', 'foundation nsf', 'area', 'science engineering', 'area future', 'science foundation'}"
28,https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm,"{'system application', 'artificial intelligence', 'security', 'national science', 'engineering', 'control', 'energy', 'area', 'machine learning', 'fuel', 'synthesis', 'big data', 'cyber system', 'communication', 'information science', 'learning', 'science foundation'}"
29,https://www.nsf.gov/pubs/2020/nsf20510/nsf20510.htm,"{'national science', 'engineering', 'division electrical', 'review process', 'civil', 'cyber system', 'communication', 'chemical', 'directorate engineering', 'science foundation'}"
30,https://www.nsf.gov/pubs/2020/nsf20505/nsf20505.htm,"{'national science', 'year', 'full professor', 'development', 'area', 'retention', 'track', 'science foundation', 'professional development'}"
31,https://www.nsf.gov/pubs/2020/nsf20503/nsf20503.htm,"{'artificial intelligence', 'security', 'economic impact', 'development', 'ai', 'machine learning', 'continued advancement', 'industry', 'learning'}"
32,https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm,"{'national science', 'engineering', 'foundation nsf', 'thermal transport', 'dynamic', 'combustion', 'transport phenomenon', 'transport process', 'fluid dynamic', 'chemical', 'science foundation'}"
33,https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm,"{'mechanobiology', 'national science', 'tissue engineering', 'engineering', 'foundation nsf', 'civil', 'chemical', 'science foundation'}"
34,https://www.nsf.gov/pubs/2019/nsf19614/nsf19614.htm,"{'first year', 'engineering education', 'professional engineer', 'year', 'engineering', 'engineering material', 'engineering department', 'professional practice', 'capstone design', 'material', 'learning'}"
35,https://www.nsf.gov/pubs/2019/nsf19613/nsf19613.htm,"{'system application', 'modeling', 'year', 'engineering', 'embedded system', 'area', 'machine learning', 'science engineering', 'computer information', 'synthesis', 'information science', 'learning'}"
36,https://www.nsf.gov/pubs/2019/nsf19599/nsf19599.htm,"{'engineering', 'directorate engineering', 'area'}"
37,https://www.nsf.gov/pubs/2019/nsf19596/nsf19596.htm,"{'engineering', 'physic', 'material science', 'property', 'science engineering', 'applied mathematics', 'plasma', 'material'}"
38,https://www.nsf.gov/pubs/2019/nsf19589/nsf19589.htm,"{'science engineering', 'project develop', 'engineering', 'communication', 'computer information', 'information science'}"
39,https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm,"{'chemistry', 'imaging', 'computational method', 'dynamic', 'synthesis', 'chemical', 'catalysis'}"
40,https://www.nsf.gov/pubs/2019/nsf19575/nsf19575.htm,"{'mm', 'development', 'statistic'}"
41,https://www.nsf.gov/pubs/2019/nsf19572/nsf19572.htm,"{'security', 'engineering', 'problem involving', 'cyber system'}"
42,https://www.nsf.gov/pubs/2019/nsf19571/nsf19571.htm,"{'artificial intelligence', 'ha long', 'security', 'national science', 'ai', 'machine learning', 'ai system', 'health', 'learning', 'science foundation'}"
43,https://www.nsf.gov/pubs/2019/nsf19553/nsf19553.htm,"{'artificial intelligence', 'security', 'energy', 'civil', 'personalized medicine', 'range application'}"
44,https://www.nsf.gov/pubs/2019/nsf19536/nsf19536.htm,"{'national science', 'united state', 'development', 'robotics', 'science foundation'}"
45,https://www.nsf.gov/pubs/2019/nsf19532/nsf19532.htm,"{'program director', 'national science', 'engineering', 'foundation nsf', 'area', 'science engineering', 'area future', 'science foundation'}"
46,https://www.nsf.gov/pubs/2019/nsf19529/nsf19529.htm,"{'security', 'national science', 'engineering', 'energy', 'science engineering', 'service', 'computer information', 'information science', 'directorate engineering', 'science foundation'}"
47,https://www.nsf.gov/pubs/2019/nsf19528/nsf19528.htm,"{'dynamic', 'chemical'}"
48,https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm,"{'national science', 'engineering', 'foundation nsf', 'thermal transport', 'dynamic', 'combustion', 'transport phenomenon', 'transport process', 'fluid dynamic', 'chemical', 'science foundation'}"
49,https://www.nsf.gov/pubs/2019/nsf19520/nsf19520.htm,"{'mm', 'national science', 'production', 'development', 'statistic', 'science foundation'}"
