,nsf_proposal_links_v1,researcher,pseudo_skills
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Agostinelli, Forest","['engineering', 'development']"
1,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ahmad, Iftikhar","['economic development', 'higher education']"
2,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Alexeev, Oleg S.","['material', 'higher education']"
3,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ali, Mohammod","['economic development', 'engineering', 'science engineering', 'professional development', 'higher education']"
4,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ammal, Salai C.",[]
5,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bakos, Jason D. ",['higher education']
6,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Banerjee, Sourav ",['material']
7,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bayat, Mahmoud","['engineering', 'science engineering', 'higher education']"
8,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bayoumi, Abdel-Moez E. ","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
9,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Benigni, Andrea",[]
10,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Berge, Nicole D.","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
11,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Besmann, Theodore  M.",['material']
12,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bischoff, Jeff ","['engineering', 'science engineering']"
13,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Blanchette, James  Otto","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
14,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Boltin, Nicholas D.","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'professional development', 'higher education']"
15,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Booth, Kristen",[]
16,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Brookshire, Robert G., Ph.D.","['economic development', 'engineering', 'science engineering', 'material', 'higher education']"
17,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Broughton, Earnie","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'professional development', 'higher education']"
18,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Buell, Duncan A.","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
19,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Caicedo, Juan","['economic development', 'engineering', 'science engineering', 'material', 'higher education']"
20,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Carrilho, Leo ",['higher education']
21,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Carver, Wayne","['material', 'higher education']"
22,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chandrashekhar, MVS",['industry']
23,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chao, Yuh J. ","['economic development', 'industry', 'material', 'professional development']"
24,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chaudhry, Hanif","['engineering', 'science engineering']"
25,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chen, Fanglin (Frank)","['economic development', 'material', 'higher education']"
26,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chen, Yinchao",[]
27,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chen, Yuche",['higher education']
28,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Cheng, Xu","['engineering', 'professional development']"
29,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Cole, Casey",[]
30,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Coman, Paul",['industry']
31,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Crichigno, Jorge",['science engineering']
32,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Cui, Taixing",['material']
33,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"De Backer, Wout",['professional development']
34,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Deng, Xiaomin ","['development', 'higher education']"
35,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Devereux, Emily","['economic development', 'engineering', 'development', 'material', 'professional development', 'higher education']"
36,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dillon, Anthony L","['economic development', 'engineering', 'higher education']"
37,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dougal, Roger A.","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
38,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Downey, Austin",['engineering']
39,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dryer, Frederick  L. ","['engineering', 'development', 'science engineering', 'industry', 'material', 'higher education']"
40,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Eastman, Caroline M. ","['engineering', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
41,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Eberth, John F.","['engineering', 'science engineering']"
42,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ebner, Armin D.","['economic development', 'material', 'higher education']"
43,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Eslambolchi Moghadam, Sara",[]
44,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Fan, Daping","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
45,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Farkas, Csilla ",[]
46,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Farouk, Tanvir   I.",['engineering']
47,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Fenner, Stephen A. ","['material', 'professional development', 'higher education']"
48,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Fiedler, Kirk",[]
49,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Flora, Joseph","['engineering', 'science engineering', 'material']"
50,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gadala-Maria, Francis","['engineering', 'science engineering']"
51,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gassman, Sarah","['engineering', 'science engineering', 'material']"
52,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gatzke, Edward P.","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
53,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gerdes, Jr., John H.","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
54,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gholizadeh, Sona","['engineering', 'science engineering', 'higher education']"
55,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gibbons, Joseph H.",[]
56,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ginn, Herbert L.",['industry']
57,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Giurgiutiu (Jurjutzu), Victor","['engineering', 'science engineering', 'material']"
58,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Glenn Jr., Odell","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'professional development', 'higher education']"
59,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Goharian, Erfan",['professional development']
60,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gower, R. Michael","['engineering', 'science engineering', 'material']"
61,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gray, Joshua","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
62,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gross, Andrew J.","['economic development', 'material', 'higher education']"
63,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gumina, Sharon","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'professional development', 'higher education']"
64,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gürdal, Zafer ",[]
65,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Haj-Hariri, Hossein ",[]
66,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Harik, Ramy","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
67,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Henrich, Silke",[]
68,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Heyden, Andreas",[]
69,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Hikmet, Neset",[]
70,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Hoque, Shamia",['professional development']
71,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Hu, Jianjun","['engineering', 'development', 'science engineering', 'material']"
72,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Hu, Ming","['material', 'higher education']"
73,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Huang, Chin-Tser",['higher education']
74,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Huang, Kevin ",['material']
75,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Huang, Xinyu ",[]
76,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Huhns, Michael N.",[]
77,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Humphries, Wilfred Kenneth","['engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
78,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Huray, Paul G.",[]
79,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Huynh, Nathan",[]
80,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Imran, Jasim",[]
81,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Jabbari, Esmaiel","['engineering', 'science engineering', 'material', 'professional development']"
82,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Jabbarzadeh, Ehsan","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
83,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Jalilvand, Golareh","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
84,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Jamshidi, Pooyan ","['economic development', 'engineering', 'science engineering']"
85,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Kanapala, Neema ",[]
86,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Karakalos, Stavros G.","['economic development', 'engineering', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
87,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Karakchi, Rasha",[]
88,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Khan, Asif",[]
89,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Khan, Jamil   A.","['engineering', 'science engineering', 'professional development', 'higher education']"
90,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Kidane, Addis ","['material', 'higher education']"
91,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Knight, Travis W.",['material']
92,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Koppel, Tarmo","['engineering', 'industry', 'higher education']"
93,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lauterbach, Jochen","['engineering', 'science engineering']"
94,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lee, Dongkyu",['higher education']
95,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lessner , Susan M.","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
96,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lewis, Jeremy ",[]
97,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Li, Chen ","['economic development', 'engineering', 'development', 'professional development', 'higher education']"
98,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Liu, Chang","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
99,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Loiselle, Val","['engineering', 'science engineering', 'professional development']"
100,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Luo, Lannan ","['engineering', 'development', 'science engineering']"
101,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lyons, Jed ","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
102,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Mandal, Krishna",[]
103,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Matolak, David",[]
104,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Matta, Fabio","['development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
105,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Matthews, Catherine",[]
106,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Matthews, Manton M",[]
107,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Matthews, Michael A.","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
108,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"McAnally, A. Steve","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'professional development', 'higher education']"
109,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"McCants, Dale ",['economic development']
110,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"McNeill, Stephen ","['economic development', 'engineering', 'science engineering', 'higher education']"
111,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Meekins, Benjamin H.","['engineering', 'higher education']"
112,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Mobli, Mostafa","['economic development', 'development', 'industry', 'material', 'professional development', 'higher education']"
113,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Monnier, John R.","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'higher education']"
114,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Morehouse, Jeff ","['engineering', 'science engineering', 'higher education']"
115,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Moss, Melissa Ann","['material', 'professional development', 'higher education']"
116,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Mullen, Robert L",['industry']
117,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Mustain, William E","['engineering', 'science engineering', 'material']"
118,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Nelakuditi, Srihari",[]
119,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Nezhad, Cyrus Riahi","['engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
120,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"O'Kane, Jason",[]
121,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"O'Reilly, James",['material']
122,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ortiz-Hernandez, Ivelisse","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
123,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Pain, Christopher C.","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
124,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Patel, Chandrashekhar","['material', 'higher education']"
125,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Paul, Titan C.","['development', 'science engineering', 'industry', 'material']"
126,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Peters, Wally ",[]
127,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Plante, Portia",[]
128,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Popov, Branko N.","['engineering', 'science engineering', 'material']"
129,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Potts, Jay","['material', 'professional development', 'higher education']"
130,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Qian, Yu","['engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
131,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ranson, Bill ","['science engineering', 'higher education']"
132,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Regalbuto, John R.","['engineering', 'science engineering']"
133,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Regan, Elizabeth A.","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
134,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Reifsnider, Kenneth ","['engineering', 'science engineering', 'material', 'higher education']"
135,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rekleitis, Ioannis",['higher education']
136,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Reynolds, Tony ",['higher education']
137,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rhodes, Curtis ","['engineering', 'science engineering']"
138,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ritter, James A.","['material', 'higher education']"
139,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rizos, Dimitris","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
140,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Roberts, Elwyn","['engineering', 'science engineering', 'material']"
141,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Roberts, Kenneth L",['material']
142,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rocheleau, David ","['engineering', 'development', 'science engineering', 'higher education']"
143,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rose, John R. ","['science engineering', 'material', 'higher education']"
144,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sabalowsky, Andrew","['science engineering', 'industry', 'higher education']"
145,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sadati, Monirosadat (Sanaz)","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
146,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sahin, Alphan ",['higher education']
147,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Santi, Enrico","['economic development', 'development', 'material', 'professional development', 'higher education']"
148,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sasanakul, Inthuorn","['engineering', 'science engineering']"
149,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Schooley, Benjamin",[]
150,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Shazly, Tarek ","['economic development', 'engineering', 'development', 'science engineering', 'industry', 'material', 'professional development', 'higher education']"
151,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Shepherd, Jeremiah",[]
152,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sheth, Amit",['engineering']
153,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Shimpalee, Sirivatch","['engineering', 'science engineering', 'material', 'professional development', 'higher education']"
154,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Simin, Grigory",[]
155,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Smoak, Wilson","['economic development', 'engineering', 'science engineering', 'material']"
156,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sockalingam, Subramani ",['development']
157,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Spinale, Frank G.","['economic development', 'engineering', 'development', 'science engineering', 'material', 'professional development', 'higher education']"
158,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Srivastava, Biplav",['material']
159,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Stanford, Thomas G.","['engineering', 'science engineering', 'material']"
160,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Stiffler, Nick",[]
161,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sudarshan, Tangali S.",[]
