proposal_link,researcher_name,rank_in_pool,cosine_sim
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gholizadeh, Sona",1,0.5204775929450989
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dillon, Anthony L",2,0.4860914647579193
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Fiedler, Kirk",3,0.4664953351020813
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Van Brunt, Vincent",4,0.45396286249160767
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sasanakul, Inthuorn",5,0.45335912704467773
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Harik, Ramy",6,0.4426819086074829
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lyons, Jed ",7,0.4352755844593048
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Broughton, Earnie",8,0.4319552481174469
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Tooren, Michel  van",9,0.42745018005371094
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gassman, Sarah",10,0.4206259250640869
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Glenn Jr., Odell",11,0.4204280972480774
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Luo, Lannan ",12,0.4130602478981018
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Schooley, Benjamin",13,0.41213205456733704
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Viparelli, Enrica",14,0.40598419308662415
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Cheng, Xu",15,0.39800313115119934
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gumina, Sharon",16,0.39525267481803894
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Eberth, John F.",17,0.3920636475086212
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Vogt, Thomas",18,0.3884096145629883
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chaudhry, Hanif",19,0.38040637969970703
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Vargas, Juan",20,0.37556231021881104
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sockalingam, Subramani ",21,0.3751766085624695
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Shepherd, Jeremiah",22,0.37320268154144287
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Smoak, Wilson",23,0.3723326325416565
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Haj-Hariri, Hossein ",24,0.37034446001052856
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"O'Reilly, James",25,0.3702176809310913
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rhodes, Curtis ",26,0.3671771287918091
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Wang, Song",27,0.36330336332321167
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Wu, Dezhi",28,0.360105037689209
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sheth, Amit",29,0.3592120409011841
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Jamshidi, Pooyan ",30,0.3587418496608734
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Matthews, Catherine",31,0.35775792598724365
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Valafar, Homayoun",32,0.35520029067993164
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Hikmet, Neset",33,0.3538600206375122
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ali, Mohammod",34,0.3502315282821655
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Roberts, Elwyn",35,0.34907859563827515
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"McNeill, Stephen ",36,0.3488064408302307
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Kanapala, Neema ",37,0.3452896475791931
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Santi, Enrico",38,0.34240537881851196
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Nelakuditi, Srihari",39,0.33896809816360474
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ortiz-Hernandez, Ivelisse",40,0.3376234471797943
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Agostinelli, Forest",41,0.33720195293426514
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lewis, Jeremy ",42,0.3368154764175415
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Hu, Jianjun",43,0.3325882852077484
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Tong, Yan",44,0.33244603872299194
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Valtorta, Marco",45,0.3306325078010559
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dougal, Roger A.",46,0.3280332386493683
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Koppel, Tarmo",47,0.3248670697212219
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Huhns, Michael N.",48,0.32327914237976074
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Xu, Songhua",49,0.32110220193862915
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Regalbuto, John R.",50,0.3210436701774597
