researcher_name
"Agostinelli, Forest"
"Ahmad, Iftikhar"
"Alexeev, Oleg S."
"Ali, Mohammod"
"Ammal, Salai C."
"Bakos, Jason D. "
"Banerjee, Sourav "
"Bayat, Mahmoud"
"Bayoumi, Abdel-Moez E. "
"Benigni, Andrea"
"Berge, Nicole D."
"Besmann, Theodore  M."
"Bischoff, Jeff "
"Blanchette, James  Otto"
"Boltin, Nicholas D."
"Booth, Kristen"
"Brookshire, Robert G., Ph.D."
"Broughton, Earnie"
"Buell, Duncan A."
"Caicedo, Juan"
"Carrilho, Leo "
"Carver, Wayne"
"Chandrashekhar, MVS"
"Chao, Yuh J. "
"Chaudhry, Hanif"
"Chen, Fanglin (Frank)"
"Chen, Yinchao"
"Chen, Yuche"
"Cheng, Xu"
"Cole, Casey"
"Coman, Paul"
"Crichigno, Jorge"
"Cui, Taixing"
"De Backer, Wout"
"Deng, Xiaomin "
"Devereux, Emily"
"Dillon, Anthony L"
"Dougal, Roger A."
"Downey, Austin"
"Dryer, Frederick  L. "
"Eastman, Caroline M. "
"Eberth, John F."
"Ebner, Armin D."
"Eslambolchi Moghadam, Sara"
"Fan, Daping"
"Farkas, Csilla "
"Farouk, Tanvir   I."
"Fenner, Stephen A. "
"Fiedler, Kirk"
"Flora, Joseph"
"Gadala-Maria, Francis"
"Gassman, Sarah"
"Gatzke, Edward P."
"Gerdes, Jr., John H."
"Gholizadeh, Sona"
"Gibbons, Joseph H."
"Ginn, Herbert L."
"Giurgiutiu (Jurjutzu), Victor"
"Glenn Jr., Odell"
"Goharian, Erfan"
"Gower, R. Michael"
"Gray, Joshua"
"Gross, Andrew J."
"Gumina, Sharon"
"Gürdal, Zafer "
"Haj-Hariri, Hossein "
"Harik, Ramy"
"Henrich, Silke"
"Heyden, Andreas"
"Hikmet, Neset"
"Hoque, Shamia"
"Hu, Jianjun"
"Hu, Ming"
"Huang, Chin-Tser"
"Huang, Kevin "
"Huang, Xinyu "
"Huhns, Michael N."
"Humphries, Wilfred Kenneth"
"Huray, Paul G."
"Huynh, Nathan"
"Imran, Jasim"
"Jabbari, Esmaiel"
"Jabbarzadeh, Ehsan"
"Jalilvand, Golareh"
"Jamshidi, Pooyan "
"Kanapala, Neema "
"Karakalos, Stavros G."
"Karakchi, Rasha"
"Khan, Asif"
"Khan, Jamil   A."
"Kidane, Addis "
"Knight, Travis W."
"Koppel, Tarmo"
"Lauterbach, Jochen"
"Lee, Dongkyu"
"Lessner , Susan M."
"Lewis, Jeremy "
"Li, Chen "
"Liu, Chang"
"Loiselle, Val"
"Luo, Lannan "
"Lyons, Jed "
"Mandal, Krishna"
"Matolak, David"
"Matta, Fabio"
"Matthews, Catherine"
"Matthews, Manton M"
"Matthews, Michael A."
"McAnally, A. Steve"
"McCants, Dale "
"McNeill, Stephen "
"Meekins, Benjamin H."
"Mobli, Mostafa"
"Monnier, John R."
"Morehouse, Jeff "
"Moss, Melissa Ann"
"Mullen, Robert L"
"Mustain, William E"
"Nelakuditi, Srihari"
"Nezhad, Cyrus Riahi"
"O'Kane, Jason"
"O'Reilly, James"
"Ortiz-Hernandez, Ivelisse"
"Pain, Christopher C."
"Patel, Chandrashekhar"
"Paul, Titan C."
"Peters, Wally "
"Plante, Portia"
"Popov, Branko N."
"Potts, Jay"
"Qian, Yu"
"Ranson, Bill "
"Regalbuto, John R."
"Regan, Elizabeth A."
"Reifsnider, Kenneth "
"Rekleitis, Ioannis"
"Reynolds, Tony "
"Rhodes, Curtis "
"Ritter, James A."
"Rizos, Dimitris"
"Roberts, Elwyn"
"Roberts, Kenneth L"
"Rocheleau, David "
"Rose, John R. "
"Sabalowsky, Andrew"
"Sadati, Monirosadat (Sanaz)"
"Sahin, Alphan "
"Santi, Enrico"
"Sasanakul, Inthuorn"
"Schooley, Benjamin"
"Shazly, Tarek "
"Shepherd, Jeremiah"
"Sheth, Amit"
"Shimpalee, Sirivatch"
"Simin, Grigory"
"Smoak, Wilson"
"Sockalingam, Subramani "
"Spinale, Frank G."
"Srivastava, Biplav"
"Stanford, Thomas G."
"Stiffler, Nick"
"Sudarshan, Tangali S."
"Summers, Bill "
"Sur, Sanjib "
"Sutton, Michael"
"Taheri-Qazvini, Nader "
"Tan, Wenbin"
"Tang, Chuanbing"
"Tang, Jijun"
"Thatcher, Matt E. "
"Tong, Yan"
"Tooren, Michel  van"
"Uline, Mark J."
"Valafar, Homayoun"
"Valtorta, Marco"
"Van Brunt, Vincent"
"Vargas, Juan"
"Vidal, Jose M. "
"Viparelli, Enrica"
"Vitzilaios, Nikolaos (Nikos)"
"Vogt, Thomas"
"Wang, Guiren"
"Wang, Guoan"
"Wang, Song"
"Wang, Xiaofeng"
"Wang, Yi"
"Wei, Xiaojun"
"Wells, James R."
"White, Ralph E."
"Williams, Christopher"
"Won, Sang Hee"
"Wu, Dezhi"
"Xu, Songhua"
"Xue, Xingjian (Chris) "
"Yoon, Yeomin"
"Yu, Lingyu "
"Yuan, Lang"
"Zand, Ramtin"
"Zhang, Bin"
"Zhang, Qi"
"Zhou, Caizhi"
"Ziehl, Paul"
