proposal_link,researcher_name,rank_in_pool,tfidf_cosine
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gholizadeh, Sona",1,0.19081830977451508
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lyons, Jed ",2,0.08981387507004222
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Broughton, Earnie",3,0.07518806182357728
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Glenn Jr., Odell",4,0.05023768138019989
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Devereux, Emily",5,0.049130579311636016
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rose, John R. ",6,0.04611195315206209
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ziehl, Paul",7,0.045964663793880305
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ortiz-Hernandez, Ivelisse",8,0.0437224856832533
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dougal, Roger A.",9,0.04239366537733702
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Plante, Portia",10,0.041413787291743075
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Lewis, Jeremy ",11,0.041413787291743075
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Kanapala, Neema ",12,0.041413787291743075
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Wells, James R.",13,0.03951905826497608
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Harik, Ramy",14,0.03920819258169531
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dillon, Anthony L",15,0.038164437877296106
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"O'Reilly, James",16,0.03760091956488936
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Gray, Joshua",17,0.037354085613493834
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Smoak, Wilson",18,0.036172698949192686
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Regan, Elizabeth A.",19,0.035389295444906266
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Spinale, Frank G.",20,0.03474572311321047
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Cui, Taixing",21,0.03413182829779109
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Shepherd, Jeremiah",22,0.03365587596284091
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Summers, Bill ",23,0.032691009432646884
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Fan, Daping",24,0.031974329602474476
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Wang, Yi",25,0.029059707715759324
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Thatcher, Matt E. ",26,0.029047103559883162
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Matta, Fabio",27,0.029026935007308064
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"McAnally, A. Steve",28,0.028019467689229326
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Pain, Christopher C.",29,0.027273300494991094
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Jalilvand, Golareh",30,0.02652809358910469
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Monnier, John R.",31,0.024644537537136604
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Williams, Christopher",32,0.02428168027601632
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Taheri-Qazvini, Nader ",33,0.02289079267435753
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Karakalos, Stavros G.",34,0.022606262540647355
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Dryer, Frederick  L. ",35,0.02170493464760249
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Vogt, Thomas",36,0.021689840011949138
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Rizos, Dimitris",37,0.02059502704310963
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Humphries, Wilfred Kenneth",38,0.0202418008726153
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Brookshire, Robert G., Ph.D.",39,0.020185832636436505
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Patel, Chandrashekhar",40,0.02002298848996539
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Buell, Duncan A.",41,0.019612294294003674
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Alexeev, Oleg S.",42,0.019088330530558827
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Santi, Enrico",43,0.018797097516857476
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Boltin, Nicholas D.",44,0.018436358120445407
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Sheth, Amit",45,0.01840508960017762
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Shazly, Tarek ",46,0.01783590979552911
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Haj-Hariri, Hossein ",47,0.017774811123896457
