,proposal,skill_categories
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"['G.1', 'C.2', 'H.2', 'J.7', 'F.4', 'K.7', 'K.6', 'J.4', 'J.2']"
1,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"['H.2', 'J.2', 'I.6', 'J.2']"
2,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"['H.5', 'K.3']"
3,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"['G.1', 'D.4', 'I.2', 'C.2', 'C.2', 'K.6', 'J.4', 'J.7', 'I.2', 'I.2', 'F.4']"
4,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"['K.1', 'H', 'D.4', 'H.2', 'K.6', 'J.2']"
5,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,"['G.1', 'I.2', 'B.2', 'B.3', 'B.6', 'G.1', 'I.2', 'A.0', 'D.3', 'I.2', 'J.2', 'J.2', 'J.7', 'H.2', 'H.2', 'D.3', 'D.3', 'B.4', 'B.5', 'F.4', 'H.5', 'D.3', 'I.2', 'D.3']"
6,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,"['G.1', 'I.2', 'B.2', 'B.3', 'B.6', 'G.1', 'I.3', 'I.2', 'D.3', 'I.7', 'I.2', 'J.2', 'J.7', 'H.2', 'D.3', 'D.3', 'B.4', 'B.5', 'F.4', 'J.2', 'I.2', 'D.3']"
7,https://www.nsf.gov/pubs/2020/nsf20586/nsf20586.htm,"['J.2', 'J.2']"
8,https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm,"['J.5', 'H.2', 'G.1', 'K.3', 'D.4', 'G.3', 'H.2', 'H', 'J.7', 'H.2', 'K.1', 'H.5', 'D.2', 'J.2']"
9,https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,"['G.1', 'I.3', 'G.1', 'I.7', 'G.1', 'H.2', 'J.2', 'G.1', 'I.2', 'C.2', 'H.5', 'J.5', 'G.1', 'H.5', 'I.3', 'I.2', 'J.2', 'D.3', 'I.2', 'A.0', 'D.3', 'D.2', 'D.3', 'I.2', 'D', 'F.4', 'D']"
10,https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm,"['I.4', 'J.6', 'I.2', 'J.2', 'F.4', 'J.2', 'D.3']"
11,https://www.nsf.gov/pubs/2020/nsf20575/nsf20575.htm,"['K.1', 'J.3', 'H.2', 'H.5', 'A.0', 'K.1', 'H.5', 'A.0']"
12,https://www.nsf.gov/pubs/2020/nsf20574/nsf20574.htm,"['J.2', 'D.4']"
13,https://www.nsf.gov/pubs/2020/nsf20566/nsf20566.htm,"['C.2', 'C.2', 'D.4', 'I.1', 'I.5', 'I.2', 'C.2', 'C.2', 'H.4', 'J.3', 'I.2', 'K.6', 'I.2', 'K.1']"
14,https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm,['D.3']
15,https://www.nsf.gov/pubs/2020/nsf20563/nsf20563.htm,"['I.4', 'D.2', 'I.4', 'D.4', 'I.2', 'C.0', 'I.2', 'I.2', 'K.4', 'C.5']"
16,https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm,"['I.4', 'D.2', 'I.3', 'G.3', 'H.2', 'J.2', 'G.3', 'I.4', 'D.2', 'J.3', 'D.3', 'J.2']"
17,https://www.nsf.gov/pubs/2020/nsf20557/nsf20557.htm,"['C.4', 'I.3', 'K.8', 'C.2', 'D.4', 'D.4', 'C.2', 'C.2']"
18,https://www.nsf.gov/pubs/2020/nsf20553/nsf20553.htm,"['G.3', 'F.4', 'J.2']"
19,https://www.nsf.gov/pubs/2020/nsf20552/nsf20552.htm,"['G.1', 'I.2', 'J.1', 'J.2', 'H.4', 'D.2']"
20,https://www.nsf.gov/pubs/2020/nsf20544/nsf20544.htm,"['K.1', 'H', 'H.2', 'H.5', 'H.2', 'J.2']"
21,https://www.nsf.gov/pubs/2020/nsf20541/nsf20541.htm,"['D.3', 'I.2', 'B.6', 'B.6', 'J.2', 'H.2', 'D.2', 'B.5', 'H.5', 'F.4', 'H.5']"
22,https://www.nsf.gov/pubs/2020/nsf20540/nsf20540.htm,"['J.5', 'H.2', 'I.5', 'C.1', 'E.3', 'B.4', 'H', 'H.2', 'I.2', 'G.1', 'K.3', 'K.3', 'I.2', 'K.1', 'H.5', 'J.2']"
23,https://www.nsf.gov/pubs/2020/nsf20539/nsf20539.htm,"['G.1', 'K.3', 'H.2', 'B.2', 'B.4', 'B.3', 'F.4', 'H.5', 'K.7', 'H.5']"
24,https://www.nsf.gov/pubs/2020/nsf20522/nsf20522.htm,"['I.2', 'F.4', 'I.2']"
25,https://www.nsf.gov/pubs/2020/nsf20517/nsf20517.htm,"['J.2', 'I.6', 'H.2', 'J.2']"
26,https://www.nsf.gov/pubs/2020/nsf20514/nsf20514.htm,"['J.5', 'D.2', 'J.5', 'H.2', 'H.2', 'H.5', 'H.5', 'J.2']"
27,https://www.nsf.gov/pubs/2020/nsf20513/nsf20513.htm,"['J.5', 'D.2', 'J.5', 'H.2', 'H.2', 'H.5', 'H.5', 'J.2']"
28,https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm,"['J.5', 'I.4', 'D.2', 'D.4', 'I.2', 'C.4', 'I.2', 'H', 'H.2', 'I.2', 'D.4', 'A.0', 'I.2', 'B.5', 'H.5', 'K.4', 'D.3', 'J.2']"
29,https://www.nsf.gov/pubs/2020/nsf20510/nsf20510.htm,"['D.4', 'D.2', 'H.5', 'C.0', 'J.2', 'H.2', 'D.4', 'H.5', 'K.4', 'J.2']"
30,https://www.nsf.gov/pubs/2020/nsf20505/nsf20505.htm,"['H.3', 'J.5', 'I.2', 'I.4', 'H.5', 'H.2', 'F.4', 'H.5', 'K.7']"
31,https://www.nsf.gov/pubs/2020/nsf20503/nsf20503.htm,"['G.1', 'D.4', 'I.2', 'C.2', 'C.2', 'K.6', 'J.4', 'J.7', 'I.2', 'I.2', 'F.4']"
32,https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm,"['H.3', 'G.2', 'I.2', 'I.2', 'D.2', 'J.2', 'H.2', 'I.2', 'H.5', 'H.5', 'J.2']"
33,https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm,"['C.0', 'J.2', 'H.2', 'F.3', 'H.5', 'H.5', 'D.2', 'J.2']"
34,https://www.nsf.gov/pubs/2019/nsf19614/nsf19614.htm,"['J.2', 'G.1', 'K.7', 'H.5', 'K.7', 'C.2', 'J.2', 'C.1', 'J.2', 'I.2', 'J.2']"
35,https://www.nsf.gov/pubs/2019/nsf19613/nsf19613.htm,"['J.5', 'D.4', 'I.3', 'I.2', 'H.2', 'C.4', 'H.5', 'H', 'I.2', 'K.1', 'D.3', 'J.2']"
36,https://www.nsf.gov/pubs/2019/nsf19599/nsf19599.htm,"['J.5', 'D.4', 'J.2']"
37,https://www.nsf.gov/pubs/2019/nsf19596/nsf19596.htm,"['A.0', 'G.1', 'I.2', 'H.2', 'J.2', 'G.1', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'J.2']"
38,https://www.nsf.gov/pubs/2019/nsf19589/nsf19589.htm,"['K.1', 'H', 'D.4', 'H.2', 'K.6', 'J.2']"
39,https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm,"['I.4', 'J.6', 'I.2', 'J.2', 'F.4', 'J.2', 'D.3']"
40,https://www.nsf.gov/pubs/2019/nsf19575/nsf19575.htm,"['H.4', 'F.4', 'K.1']"
41,https://www.nsf.gov/pubs/2019/nsf19572/nsf19572.htm,"['D.4', 'I.2', 'K.4', 'J.2']"
42,https://www.nsf.gov/pubs/2019/nsf19571/nsf19571.htm,"['C.2', 'C.2', 'D.4', 'I.2', 'C.2', 'C.2', 'J.3', 'H.2', 'I.2', 'K.6', 'I.2', 'H.5']"
43,https://www.nsf.gov/pubs/2019/nsf19553/nsf19553.htm,"['I.4', 'D.2', 'I.4', 'D.4', 'C.0', 'I.2', 'C.5']"
44,https://www.nsf.gov/pubs/2019/nsf19536/nsf19536.htm,"['H.2', 'I.2', 'F.4', 'H.5', 'I.2']"
45,https://www.nsf.gov/pubs/2019/nsf19532/nsf19532.htm,"['J.5', 'D.2', 'J.5', 'H.2', 'H.2', 'H.5', 'H.5', 'J.2']"
46,https://www.nsf.gov/pubs/2019/nsf19529/nsf19529.htm,"['C.5', 'I.4', 'D.2', 'D.4', 'D.4', 'H.2', 'H', 'H.2', 'K.1', 'H.5', 'J.2']"
47,https://www.nsf.gov/pubs/2019/nsf19528/nsf19528.htm,"['J.2', 'I.2']"
48,https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm,"['H.3', 'G.2', 'I.2', 'I.2', 'D.2', 'J.2', 'H.2', 'I.2', 'H.5', 'H.5', 'J.2']"
49,https://www.nsf.gov/pubs/2019/nsf19520/nsf19520.htm,"['H.4', 'H.2', 'F.4', 'K.1', 'H.5', 'D.2']"
50,https://www.nsf.gov/pubs/2019/nsf19516/nsf19516.htm,"['K.6', 'G.1', 'I.2', 'I.2', 'B.7', 'H.2', 'J.2', 'H.2', 'G.1', 'F.4', 'H.5', 'I.2']"
51,https://www.nsf.gov/pubs/2019/nsf19511/nsf19511.htm,"['J.5', 'D.2', 'J.5', 'H.2', 'H.2', 'H.5', 'H.5', 'J.2']"
52,https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm,"['C.0', 'J.2', 'H.2', 'F.3', 'H.5', 'H.5', 'D.2', 'J.2']"
53,https://www.nsf.gov/pubs/2019/nsf19505/nsf19505.htm,"['H.5', 'H.2', 'H.5']"
54,https://www.nsf.gov/pubs/2018/nsf18598/nsf18598.htm,"['H.2', 'H', 'J.7', 'A.0', 'K.1', 'I.2', 'J.2']"
55,https://www.nsf.gov/pubs/2018/nsf18596/nsf18596.htm,"['J.5', 'I.3', 'I.2', 'H.2', 'C.4', 'H.5', 'H', 'I.2', 'K.1', 'D.3', 'J.2']"
56,https://www.nsf.gov/pubs/2018/nsf18595/nsf18595.htm,['I.4']
57,https://www.nsf.gov/pubs/2018/nsf18591/nsf18591.htm,"['H.5', 'K.3']"
58,https://www.nsf.gov/pubs/2018/nsf18585/nsf18585.htm,"['H.2', 'H.5']"
59,https://www.nsf.gov/pubs/2018/nsf18572/nsf18572.htm,"['D.4', 'I.2', 'K.4', 'J.2']"
60,https://www.nsf.gov/pubs/2018/nsf18571/nsf18571.htm,"['G.1', 'C.2', 'H.2', 'J.7', 'F.4', 'K.7', 'J.2']"
61,https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm,"['K.6', 'I.2']"
62,https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm,"['F.4', 'F.4']"
63,https://www.nsf.gov/pubs/2018/nsf18567/nsf18567.htm,"['C.5', 'J.5', 'I.2', 'F.4', 'D.4', 'D.3', 'H.2', 'J.2', 'F.4', 'J.2']"
64,https://www.nsf.gov/pubs/2018/nsf18566/nsf18566.htm,"['K.1', 'J.3', 'H.5', 'H.2', 'H.5', 'A.0', 'K.1', 'H.5', 'H.5', 'A.0']"
65,https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm,"['C.2', 'J.2']"
66,https://www.nsf.gov/pubs/2018/nsf18561/nsf18561.htm,"['I.4', 'J.6', 'I.2', 'J.2', 'F.4', 'J.2', 'D.3']"
67,https://www.nsf.gov/pubs/2018/nsf18557/nsf18557.htm,"['K.3', 'K.3', 'C.3', 'D.4', 'I.2']"
68,https://www.nsf.gov/pubs/2018/nsf18556/nsf18556.htm,"['G.1', 'K.3', 'D.4', 'J.3', 'H.2', 'K.6', 'B.4', 'H', 'H.2', 'G.1', 'J.2', 'K.1', 'H.5', 'H.5', 'J.2']"
69,https://www.nsf.gov/pubs/2018/nsf18541/nsf18541.htm,"['J.5', 'F.3', 'D.4', 'I.3', 'C.2', 'J.3', 'H.2', 'H.5', 'H', 'H.2', 'H.5', 'K.1', 'F.4', 'H.5', 'H.5', 'C.2', 'C.2', 'A.0', 'J.2']"
70,https://www.nsf.gov/pubs/2018/nsf18538/nsf18538.htm,"['I.4', 'D.2', 'I.4', 'D.4', 'C.0', 'H.2', 'I.2', 'C.5', 'H.5']"
71,https://www.nsf.gov/pubs/2018/nsf18537/nsf18537.htm,"['G.1', 'K.3', 'H.2', 'B.2', 'B.4', 'B.3', 'F.4', 'H.5', 'K.7', 'H.5']"
72,https://www.nsf.gov/pubs/2018/nsf18536/nsf18536.htm,"['J.5', 'I.3', 'I.2', 'H.2', 'C.4', 'H.5', 'H', 'I.2', 'K.1', 'D.3', 'J.2']"
73,https://www.nsf.gov/pubs/2018/nsf18528/nsf18528.htm,"['K.1', 'H', 'H.2', 'J.2']"
74,https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm,['J.2']
75,https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm,"['I.2', 'D.2', 'J.2', 'H.2', 'H.5', 'H.5', 'J.2']"
76,https://www.nsf.gov/pubs/2018/nsf18518/nsf18518.htm,"['H.2', 'I.2', 'F.4', 'H.5', 'I.2']"
77,https://www.nsf.gov/pubs/2018/nsf18517/nsf18517.htm,"['J.5', 'D.2']"
78,https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm,"['J.2', 'H.2', 'H.5', 'H.5', 'D.2', 'J.2']"
79,https://www.nsf.gov/pubs/2018/nsf18502/nsf18502.htm,"['C.2', 'D.2', 'J.7', 'H.2', 'F.4', 'H.5', 'H.5']"
80,https://www.nsf.gov/pubs/2018/nsf18501/nsf18501.htm,"['H.5', 'K.3']"
81,https://www.nsf.gov/pubs/2018/nsf18500/nsf18500.htm,"['G.1', 'I.3', 'G.1', 'I.7', 'G.1', 'J.2', 'G.1', 'I.2', 'C.2', 'J.5', 'G.1', 'H.5', 'I.3', 'I.2', 'J.2', 'D.3', 'I.2', 'A.0', 'D.3', 'D.2', 'D.3', 'I.2', 'D', 'F.4', 'D']"
82,https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm,"['C.5', 'I.4', 'D.2', 'D.4', 'D.4', 'H.2', 'H', 'H.2', 'K.1', 'H.5', 'J.2']"
83,https://www.nsf.gov/pubs/2017/nsf17600/nsf17600.htm,['H.5']
84,https://www.nsf.gov/pubs/2017/nsf17589/nsf17589.htm,"['F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2']"
