,nsf_proposal_links_v1,skill,code,terms,preprocessed_terms
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,material,['G.1.3'],"['Numerical Linear Algebra', ' Conditioning', ' Determinants**', ' Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', ' Error analysis', ' Linear systems (direct and iterative methods)', ' Matrix inversion', ' Pseudoinverses**', ' Singular value decomposition (NEW)', ' Sparse, structured, and very large systems (direct and iterative methods) (REVISED)']","['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']"
1,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,higher education,['C.2.5'],"['Local and Wide-Area Networks (REVISED)', ' Access schemes', ' Buses']","['local widearea network revised', 'access scheme', 'bus']"
2,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,science engineering,['H.2.8'],"['Database Applications', ' Data mining (NEW)', ' Image databases (NEW)', ' Scientific databases (NEW)', ' Spatial databases and GIS (NEW)', ' Statistical databases (NEW)']","['database application', 'data mining new', 'image database new', 'scientific database new', 'spatial database gi new', 'statistical database new']"
3,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,industry,['J.7'],"['COMPUTERS IN OTHER SYSTEMS (C.3)', ' Command and control', ' Consumer products', ' Industrial control', ' Military', ' Process control', ' Publishing', ' Real time']","['computer system', 'command control', 'consumer product', 'industrial control', 'military', 'process control', 'publishing', 'real time']"
4,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,development,['F.4.2'],"['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system']"
5,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,professional development,['K.7.4'],"['Professional Ethics (K.4) (NEW)', ' Codes of ethics (NEW)', ' Codes of good practice (NEW)', ' Ethical dilemmas (NEW)']","['professional ethic new', 'code ethic new', 'code good practice new', 'ethical dilemma new']"
6,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,economic development,"['K.6.0', 'J.4']","['General', ' Economics', 'SOCIAL AND BEHAVIORAL SCIENCES', ' Economics', ' Psychology', ' Sociology']","['general', 'economics', 'social behavioral science', 'economics', 'psychology', 'sociology']"
7,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,engineering,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
8,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,science engineering,['H.2.8'],"['Database Applications', ' Data mining (NEW)', ' Image databases (NEW)', ' Scientific databases (NEW)', ' Spatial databases and GIS (NEW)', ' Statistical databases (NEW)']","['database application', 'data mining new', 'image database new', 'scientific database new', 'spatial database gi new', 'statistical database new']"
9,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,chemical,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
