,researcher,skill,code,terms,preprocessed_terms
0,"Agostinelli, Forest",deep learning,['E.3'],"['DATA ENCRYPTION', ' Code breaking (NEW)', ' Data encryption standard (DES)**', ' Public key cryptosystems', ' Standards (e.g., DES, PGP, RSA) (NEW)']","['data encryption', 'code breaking new', 'data encryption standard de', 'public key cryptosystems', 'standard eg de pgp rsa new']"
1,"Agostinelli, Forest",search,['F.2.2'],"['Nonnumerical Algorithms and Problems (E.2-5, G.2, H.2-3)', ' Complexity of proof procedures', ' Computations on discrete structures', ' Geometrical problems and computations', ' Pattern matching', ' Routing and layout', ' Sequencing and scheduling', ' Sorting and searching']","['nonnumerical algorithm problem', 'complexity proof procedure', 'computation discrete structure', 'geometrical problem computation', 'pattern matching', 'routing layout', 'sequencing scheduling', 'sorting searching']"
2,"Agostinelli, Forest",bioinformatics,['A.0'],"['GENERAL', ' Biographies/autobiographies', ' Conference proceedings', ' General literary works (e.g., fiction, plays)']","['general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play']"
3,"Agostinelli, Forest",reinforcement learning,['E.1'],"['DATA STRUCTURES', ' Arrays', ' Distributed data structures (NEW)', ' Graphs and networks (REVISED)', ' Lists, stacks, and queues (REVISED)', ' Records (NEW)', ' Tables**', ' Trees']","['data structure', 'array', 'distributed data structure new', 'graph network revised', 'list stack queue revised', 'record new', 'table', 'tree']"
4,"Agostinelli, Forest",artificial intelligence,['I.2'],['ARTIFICIAL INTELLIGENCE'],['artificial intelligence']
5,"Ahmad, Iftikhar",growth study,['H.4.1'],"['Office Automation (I.7)', ' Desktop publishing (NEW)', ' Equipment**', ' Groupware (NEW)', ' Spreadsheets', ' Time management (e.g., calendars, schedules)', ' Word processing', ' Workflow management (NEW)']","['office automation', 'desktop publishing new', 'equipment', 'groupware new', 'spreadsheet', 'time management eg calendar schedule', 'word processing', 'workflow management new']"
6,"Ahmad, Iftikhar",electronic technology,['H.4.3'],"['Communications Applications', ' Bulletin boards', ' Computer conferencing, teleconferencing, and videoconferencing (REVISED)', ' Electronic mail', ' Information browsers (NEW)', ' Videotex']","['communication application', 'bulletin board', 'computer conferencing teleconferencing videoconferencing revised', 'electronic mail', 'information browser new', 'videotex']"
7,"Ahmad, Iftikhar",position senior,['D.2.7'],"['Distribution, Maintenance, and Enhancement (REVISED)', ' Corrections**', ' Documentation', ' Enhancement**', ' Extensibility**', ' Portability', ' Restructuring, reverse engineering, and reengineering (REVISED)', ' Version control']","['distribution maintenance enhancement revised', 'correction', 'documentation', 'enhancement', 'extensibility', 'portability', 'restructuring reverse engineering reengineering revised', 'version control']"
8,"Ahmad, Iftikhar",aluminum content,"['I.1.2', 'I.5.3']","['Algorithms (F.2.1-2)', ' Algebraic algorithms', ' Analysis of algorithms', ' Nonalgebraic algorithms', 'Clustering', ' Algorithms', ' Similarity measures']","['algorithm', 'algebraic algorithm', 'analysis algorithm', 'nonalgebraic algorithm', 'clustering', 'algorithm', 'similarity measure']"
9,"Ahmad, Iftikhar",wide bandgap,['D.4.9'],"['Systems Programs and Utilities', ' Command and control languages', ' Linkers**', ' Loaders**', ' Window managers']","['system program utility', 'command control language', 'linkers', 'loader', 'window manager']"
