researcher_name,researcher_name_norm,first_name,gender_guesser_raw,gender_guesser_vote,genderize_vote,genderize_probability,sexmachine_raw,sexmachine_vote,pronoun_vote,gender,source
"Agostinelli, Forest","agostinelli, forest",forest,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Ahmad, Iftikhar","ahmad, iftikhar",iftikhar,male,male,unknown,,male,male,male,male,ensemble_majority
"Alexeev, Oleg S.","alexeev, oleg s.",oleg,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Ali, Mohammod","ali, mohammod",mohammod,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Ammal, Salai C.","ammal, salai c.",salai,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Bakos, Jason D. ","bakos, jason d.",jason,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Banerjee, Sourav ","banerjee, sourav",sourav,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Bayat, Mahmoud","bayat, mahmoud",mahmoud,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Bayoumi, Abdel-Moez E. ","bayoumi, abdel-moez e.",abdel,male,male,unknown,,male,male,male,male,ensemble_majority
"Benigni, Andrea","benigni, andrea",andrea,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Berge, Nicole D.","berge, nicole d.",nicole,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Besmann, Theodore  M.","besmann, theodore m.",theodore,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Bischoff, Jeff ","bischoff, jeff",jeff,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Blanchette, James  Otto","blanchette, james otto",james,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Boltin, Nicholas D.","boltin, nicholas d.",nicholas,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Booth, Kristen","booth, kristen",kristen,female,female,unknown,,female,female,female,female,ensemble_majority
"Brookshire, Robert G., Ph.D.","brookshire, robert g., ph.d.",robert,male,male,unknown,,male,male,male,male,ensemble_majority
"Broughton, Earnie","broughton, earnie",earnie,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Buell, Duncan A.","buell, duncan a.",duncan,male,male,unknown,,male,male,male,male,ensemble_majority
"Caicedo, Juan","caicedo, juan",juan,male,male,unknown,,male,male,male,male,ensemble_majority
"Carrilho, Leo ","carrilho, leo",leo,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Carver, Wayne","carver, wayne",wayne,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Chandrashekhar, MVS","chandrashekhar, mvs",mvs,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Chao, Yuh J. ","chao, yuh j.",yuh,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Chaudhry, Hanif","chaudhry, hanif",hanif,male,male,unknown,,male,male,unknown,male,ensemble_majority
