proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Arindam Biswas,"[['Arindam Biswas', 'Avlokita Agrawal'], ['Arindam Biswas', 'Smriti Saraswat'], ['Arindam Biswas', 'Gaurav Raheja'], ['Arindam Biswas', 'Mahua Mukherjee'], ['Arindam Biswas', 'V Devadas']]","[0.0594, 0.0594, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Avlokita Agrawal,"[['Avlokita Agrawal', 'Smriti Saraswat'], ['Avlokita Agrawal', 'Arindam Biswas'], ['Avlokita Agrawal', 'Gaurav Raheja'], ['Avlokita Agrawal', 'Mahua Mukherjee'], ['Avlokita Agrawal', 'Tina Pujara']]","[0.0688, 0.0594, 0.0594, 0.0594, 0.0594]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Gaurav Raheja,"[['Gaurav Raheja', 'Avlokita Agrawal'], ['Gaurav Raheja', 'Smriti Saraswat'], ['Gaurav Raheja', 'Arindam Biswas'], ['Gaurav Raheja', 'Mahua Mukherjee'], ['Gaurav Raheja', 'Tina Pujara']]","[0.0594, 0.0594, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Harshit Sosan Lakra,"[['Harshit Sosan Lakra', 'Avlokita Agrawal'], ['Harshit Sosan Lakra', 'Smriti Saraswat'], ['Harshit Sosan Lakra', 'Arindam Biswas'], ['Harshit Sosan Lakra', 'Gaurav Raheja'], ['Harshit Sosan Lakra', 'Mahua Mukherjee']]","[0.0594, 0.0594, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Mahua Mukherjee,"[['Mahua Mukherjee', 'Smriti Saraswat'], ['Mahua Mukherjee', 'V Devadas'], ['Mahua Mukherjee', 'Shubhajit Sadhukhan'], ['Mahua Mukherjee', 'Arindam Biswas'], ['Mahua Mukherjee', 'Sonal Atreya']]","[0.0594, 0.05, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Prabhjot Singh Chani,"[['Prabhjot Singh Chani', 'Avlokita Agrawal'], ['Prabhjot Singh Chani', 'Smriti Saraswat'], ['Prabhjot Singh Chani', 'Arindam Biswas'], ['Prabhjot Singh Chani', 'Gaurav Raheja'], ['Prabhjot Singh Chani', 'Mahua Mukherjee']]","[0.0594, 0.0594, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",E Rajasekar,"[['E Rajasekar', 'Smriti Saraswat'], ['E Rajasekar', 'V Devadas'], ['E Rajasekar', 'Arindam Biswas'], ['E Rajasekar', 'Mahua Mukherjee'], ['E Rajasekar', 'Akhil Upadhyay']]","[0.0594, 0.05, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Ram Sateesh Pasupuleti,"[['Ram Sateesh Pasupuleti', 'Smriti Saraswat'], ['Ram Sateesh Pasupuleti', 'Arindam Biswas'], ['Ram Sateesh Pasupuleti', 'V Devadas'], ['Ram Sateesh Pasupuleti', 'Sonal Atreya'], ['Ram Sateesh Pasupuleti', 'Tina Pujara']]","[0.0594, 0.05, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Saptarshi Kolay,"[['Saptarshi Kolay', 'Avlokita Agrawal'], ['Saptarshi Kolay', 'Arindam Biswas'], ['Saptarshi Kolay', 'Gaurav Raheja'], ['Saptarshi Kolay', 'Mahua Mukherjee'], ['Saptarshi Kolay', 'V Devadas']]","[0.0594, 0.05, 0.05, 0.05, 0.05]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['call', 'dst-sti', 'policy', 'fellowship', 'programme', 'call dst-sti', 'dst-sti policy', 'policy fellowship', 'fellowship programme', 'dst', 'technology', 'innovation', 'fellowships', 'dst-sti-pfp', 'guidelines', 'proforma', 'submission', 'applications', 'last', 'date', 'application', 'may', 'innovation policy', 'policy fellowships', 'fellowships programme', 'programme dst-sti-pfp', 'dst-sti-pfp guidelines', 'guidelines proforma', 'proforma submission', 'submission applications', 'applications last', 'last date', 'date submission', 'submission application', 'application dst-sti', 'dst-sti fellowship', 'fellowship may', 'government', 'india', 'ministry']",Shubhajit Sadhukhan,"[['Shubhajit Sadhukhan', 'Prince Tiwari'], ['Shubhajit Sadhukhan', 'Jitin Singla'], ['Shubhajit Sadhukhan', 'Arindam Biswas'], ['Shubhajit Sadhukhan', 'V Devadas'], ['Shubhajit Sadhukhan', 'Saptarshi Kolay']]","[0.0594, 0.0594, 0.05, 0.05, 0.05]"
